# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.018903,0.238628,-0.000092,0.995446
0.016607,0.300554,0.124474,0.000000
0.108289,0.000000,0.112163,0.000000
0.006585,0.681451,0.072144,0.000007
0.034395,0.031984,0.156545,0.000000
0.061807,0.000115,0.134959,0.000000
0.101109,0.000000,0.182030,0.000000
0.033920,0.034430,0.125547,0.000000
0.025693,0.109194,0.162305,0.000000
0.200276,0.000000,0.239536,0.000000
0.242400,0.000000,0.242783,0.000000
0.153707,0.000000,0.236937,0.000000
0.221783,0.000000,0.218524,0.000000
0.119368,0.000000,0.193031,0.000000
0.271162,0.000000,0.278013,0.000000
0.337830,0.000000,0.331740,0.000000
0.317873,0.000000,0.315308,0.000000
0.276715,0.000000,0.287710,0.000000
0.330920,0.000000,0.332530,0.000000
0.310669,0.000000,0.298154,0.000000
0.347566,0.000000,0.352844,0.000000
0.332231,0.000000,0.325597,0.000000
0.317219,0.000000,0.317741,0.000000
0.348643,0.000000,0.364659,0.000000
0.355881,0.000000,0.358037,0.000000
0.416725,0.000000,0.418287,0.000000
0.400706,0.000000,0.421340,0.000000
0.446010,0.000000,0.444423,0.000000
0.325747,0.000000,0.335025,0.000000
0.426400,0.000000,0.427087,0.000000
0.419637,0.000000,0.422987,0.000000
0.401991,0.000000,0.405590,0.000000
0.458459,0.000000,0.475108,0.000000
0.479715,0.000000,0.488394,0.000000
0.475889,0.000000,0.480371,0.000000
0.516473,0.000000,0.515947,0.000000
0.486381,0.000000,0.492687,0.000000
0.482617,0.000000,0.489905,0.000000
0.509166,0.000000,0.513700,0.000000
0.519228,0.000000,0.521797,0.000000
0.480658,0.000000,0.486984,0.000000
0.517767,0.000000,0.524350,0.000000
0.530978,0.000000,0.532681,0.000000
0.539009,0.000000,0.538729,0.000000
0.565111,0.000000,0.564271,0.000000
0.556392,0.000000,0.555180,0.000000
0.584571,0.000000,0.582708,0.000000
0.526136,0.000000,0.529068,0.000000
0.561144,0.000000,0.563835,0.000000
0.573776,0.000000,0.573388,0.000000
0.571891,0.000000,0.573067,0.000000
0.559637,0.000000,0.559201,0.000000
0.548161,0.000000,0.550639,0.000000
0.538028,0.000000,0.548014,0.000000
0.603170,0.000000,0.603353,0.000000
0.594921,0.000000,0.596524,0.000000
0.567982,0.000000,0.571951,0.000000
0.617624,0.000000,0.628398,0.000000
0.551727,0.000000,0.554685,0.000000
0.618229,0.000000,0.622284,0.000000
0.619050,0.000000,0.622929,0.000000
0.611374,0.000000,0.609800,0.000000
0.642993,0.000000,0.648482,0.000000
0.647852,0.000000,0.651593,0.000000
0.617276,0.000000,0.612031,0.000000
0.617543,0.000000,0.619285,0.000000
0.664358,0.000000,0.664497,0.000000
0.630753,0.000000,0.627622,0.000000
0.656224,0.000000,0.654683,0.000000
0.666520,0.000000,0.664661,0.000000
0.666446,0.000000,0.661358,0.000000
0.604536,0.000000,0.604100,0.000000
0.664094,0.000000,0.662279,0.000000
0.676495,0.000000,0.677059,0.000000
0.666620,0.000000,0.665397,0.000000
0.625483,0.000000,0.632202,0.000000
0.662882,0.000000,0.663821,0.000000
0.685849,0.000000,0.682021,0.000000
0.670962,0.000000,0.668402,0.000000
0.683230,0.000000,0.683814,0.000000
0.677274,0.000000,0.674782,0.000000
0.673762,0.000000,0.670551,0.000000
0.666432,0.000000,0.662196,0.000000
0.683160,0.000000,0.679380,0.000000
0.680430,0.000000,0.678999,0.000000
0.667913,0.000000,0.664563,0.000000
0.690850,0.000000,0.687410,0.000000
0.676218,0.000000,0.673397,0.000000
0.681956,0.000000,0.680222,0.000000
0.681948,0.000000,0.678889,0.000000
