# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.593599,0.000000,0.601746,0.000000
0.537835,0.000000,0.549964,0.000000
0.543911,0.000000,0.558225,0.000000
0.575853,0.000000,0.577500,0.000000
0.484282,0.000000,0.492333,0.000000
0.516133,0.000000,0.523375,0.000000
0.552061,0.000000,0.564595,0.000000
0.510680,0.000000,0.523729,0.000000
-0.113552,0.000000,-0.044761,0.005246
0.576577,0.000000,0.581138,0.000000
0.488289,0.000000,0.493734,0.000000
0.515900,0.000000,0.521745,0.000000
0.570081,0.000000,0.576881,0.000000
0.525867,0.000000,0.529911,0.000000
0.533977,0.000000,0.541842,0.000000
0.516245,0.000000,0.524122,0.000000
0.495084,0.000000,0.499677,0.000000
0.529592,0.000000,0.533877,0.000000
0.508498,0.000000,0.511090,0.000000
0.548942,0.000000,0.557260,0.000000
0.556801,0.000000,0.566232,0.000000
0.555329,0.000000,0.558659,0.000000
0.529687,0.000000,0.533108,0.000000
0.521240,0.000000,0.527104,0.000000
0.525635,0.000000,0.531323,0.000000
0.520915,0.000000,0.524863,0.000000
0.580508,0.000000,0.583905,0.000000
0.512969,0.000000,0.518398,0.000000
0.508656,0.000000,0.514980,0.000000
0.548023,0.000000,0.550162,0.000000
0.505022,0.000000,0.508490,0.000000
0.510893,0.000000,0.513597,0.000000
0.516983,0.000000,0.523194,0.000000
0.516562,0.000000,0.522238,0.000000
0.548046,0.000000,0.552068,0.000000
0.532835,0.000000,0.537552,0.000000
0.494685,0.000000,0.499217,0.000000
0.559897,0.000000,0.564712,0.000000
0.484518,0.000000,0.487419,0.000000
0.529249,0.000000,0.532396,0.000000
0.508762,0.000000,0.513694,0.000000
0.495740,0.000000,0.500020,0.000000
0.522218,0.000000,0.525661,0.000000
0.487837,0.000000,0.492735,0.000000
0.507876,0.000000,0.512557,0.000000
0.515224,0.000000,0.517870,0.000000
0.518782,0.000000,0.523387,0.000000
0.512657,0.000000,0.518263,0.000000
0.480591,0.000000,0.482439,0.000000
0.538010,0.000000,0.541595,0.000000
0.486679,0.000000,0.490601,0.000000
0.529991,0.000000,0.536401,0.000000
0.519206,0.000000,0.520799,0.000000
0.490067,0.000000,0.492825,0.000000
0.489332,0.000000,0.492190,0.000000
0.483133,0.000000,0.488281,0.000000
0.509577,0.000000,0.512870,0.000000
0.537784,0.000000,0.543980,0.000000
0.514008,0.000000,0.519204,0.000000
0.493071,0.000000,0.496464,0.000000
0.492854,0.000000,0.496527,0.000000
0.498230,0.000000,0.500013,0.000000
0.498555,0.000000,0.504466,0.000000
0.483201,0.000000,0.485311,0.000000
0.475569,0.000000,0.477988,0.000000
0.503959,0.000000,0.507279,0.000000
0.486954,0.000000,0.491242,0.000000
0.481401,0.000000,0.485040,0.000000
0.505852,0.000000,0.509873,0.000000
0.518199,0.000000,0.519617,0.000000
0.495962,0.000000,0.499616,0.000000
0.503084,0.000000,0.506565,0.000000
0.494063,0.000000,0.498395,0.000000
0.493093,0.000000,0.496255,0.000000
0.485167,0.000000,0.489141,0.000000
0.496765,0.000000,0.501005,0.000000
0.490712,0.000000,0.495114,0.000000
0.507395,0.000000,0.511705,0.000000
0.493724,0.000000,0.498140,0.000000
0.492379,0.000000,0.497785,0.000000
0.497225,0.000000,0.502491,0.000000
0.493159,0.000000,0.497448,0.000000
0.483400,0.000000,0.486914,0.000000
0.496380,0.000000,0.500527,0.000000
0.481085,0.000000,0.484039,0.000000
0.492982,0.000000,0.496854,0.000000
0.484784,0.000000,0.488342,0.000000
0.491474,0.000000,0.494750,0.000000
0.491484,0.000000,0.495116,0.000000
0.487172,0.000000,0.490680,0.000000
