# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.429141,0.000000,0.403847,0.000000
0.295422,0.000000,0.318292,0.000000
-0.271220,0.000000,-0.269982,0.000000
-0.093337,0.000000,-0.070065,0.000012
0.411225,0.000000,0.380440,0.000000
-0.159086,0.000000,-0.160327,0.000000
0.356629,0.000000,0.340858,0.000000
0.313170,0.000000,0.306470,0.000000
0.321867,0.000000,0.289676,0.000000
0.254578,0.000000,0.248352,0.000000
0.301521,0.000000,0.272787,0.000000
0.211749,0.000000,0.206444,0.000000
0.226219,0.000000,0.217056,0.000000
0.061873,0.000113,0.079319,0.000001
0.422012,0.000000,0.386205,0.000000
0.292201,0.000000,0.268363,0.000000
0.029100,0.069628,0.047207,0.003238
0.327676,0.000000,0.310408,0.000000
0.322907,0.000000,0.296575,0.000000
0.224738,0.000000,0.214842,0.000000
0.322227,0.000000,0.299756,0.000000
0.349663,0.000000,0.329402,0.000000
0.111227,0.000000,0.125844,0.000000
0.317636,0.000000,0.297559,0.000000
0.261874,0.000000,0.259583,0.000000
0.309531,0.000000,0.293234,0.000000
0.268457,0.000000,0.261108,0.000000
0.269249,0.000000,0.265237,0.000000
0.344062,0.000000,0.318475,0.000000
0.298527,0.000000,0.292870,0.000000
0.236276,0.000000,0.228978,0.000000
-0.101729,0.000000,-0.094840,0.000000
0.225086,0.000000,0.226596,0.000000
0.382566,0.000000,0.355397,0.000000
0.206908,0.000000,0.214097,0.000000
0.393424,0.000000,0.361754,0.000000
0.245173,0.000000,0.244554,0.000000
0.391304,0.000000,0.368307,0.000000
0.230171,0.000000,0.220103,0.000000
0.366341,0.000000,0.346169,0.000000
0.388750,0.000000,0.367063,0.000000
0.407912,0.000000,0.383909,0.000000
0.383469,0.000000,0.359621,0.000000
0.341654,0.000000,0.326281,0.000000
0.364671,0.000000,0.347369,0.000000
0.279528,0.000000,0.275482,0.000000
0.211236,0.000000,0.213484,0.000000
0.284026,0.000000,0.282566,0.000000
0.423773,0.000000,0.406044,0.000000
0.437927,0.000000,0.408139,0.000000
0.202513,0.000000,0.208859,0.000000
0.197995,0.000000,0.200206,0.000000
0.260975,0.000000,0.263605,0.000000
0.439354,0.000000,0.410882,0.000000
0.325438,0.000000,0.312118,0.000000
0.360447,0.000000,0.348633,0.000000
0.256420,0.000000,0.260955,0.000000
0.382824,0.000000,0.364631,0.000000
0.440507,0.000000,0.407663,0.000000
0.428732,0.000000,0.411161,0.000000
0.401948,0.000000,0.383751,0.000000
0.411679,0.000000,0.396852,0.000000
0.312444,0.000000,0.311483,0.000000
0.409121,0.000000,0.383778,0.000000
0.426842,0.000000,0.404561,0.000000
0.496166,0.000000,0.464431,0.000000
0.382092,0.000000,0.372039,0.000000
0.276175,0.000000,0.276612,0.000000
0.460330,0.000000,0.431654,0.000000
0.502103,0.000000,0.465755,0.000000
0.394135,0.000000,0.366960,0.000000
0.341864,0.000000,0.338689,0.000000
0.352063,0.000000,0.347107,0.000000
0.454495,0.000000,0.438573,0.000000
0.474361,0.000000,0.460988,0.000000
0.400624,0.000000,0.387414,0.000000
0.474913,0.000000,0.455860,0.000000
0.334707,0.000000,0.330130,0.000000
0.415302,0.000000,0.402679,0.000000
0.446213,0.000000,0.430589,0.000000
0.413480,0.000000,0.406673,0.000000
0.481562,0.000000,0.468511,0.000000
0.537303,0.000000,0.517333,0.000000
0.524191,0.000000,0.507366,0.000000
0.415569,0.000000,0.407773,0.000000
0.449001,0.000000,0.436023,0.000000
0.476665,0.000000,0.462196,0.000000
0.475193,0.000000,0.463685,0.000000
0.477599,0.000000,0.465264,0.000000
0.498343,0.000000,0.485093,0.000000
