# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.061596,0,0.061875,0
0.035822,0,0.032616,0
0.108857,0,0.108976,0
0.232065,0,0.233886,0
0.242265,0,0.252501,0
0.294081,0,0.304178,0
0.318523,0,0.328444,0
0.356803,0,0.375261,0
0.340515,0,0.350198,0
0.396143,0,0.419486,0
0.394631,0,0.428933,0
0.472762,0,0.507143,0
0.463464,0,0.487209,0
0.4928,0,0.519758,0
0.486498,0,0.520076,0
0.521144,0,0.546098,0
0.501863,0,0.52584,0
0.532102,0,0.554257,0
0.538699,0,0.563727,0
0.518721,0,0.544016,0
0.524616,0,0.551934,0
0.540222,0,0.560691,0
0.51997,0,0.541662,0
0.552304,0,0.575056,0
0.56071,0,0.586038,0
0.556508,0,0.577181,0
0.554385,0,0.581608,0
0.55251,0,0.578792,0
0.569651,0,0.596179,0
0.575516,0,0.600426,0
0.55509,0,0.585286,0
0.58247,0,0.608724,0
0.556119,0,0.582543,0
0.572858,0,0.594659,0
0.581207,0,0.60844,0
0.584024,0,0.607036,0
0.584146,0,0.610728,0
0.580678,0,0.606889,0
0.586796,0,0.608189,0
0.567872,0,0.596341,0
0.575531,0,0.602336,0
0.581726,0,0.610146,0
0.590266,0,0.618908,0
0.586445,0,0.611905,0
0.588725,0,0.614368,0
0.596624,0,0.626154,0
0.600868,0,0.623501,0
0.60176,0,0.626375,0
0.603301,0,0.627735,0
0.602763,0,0.6284,0
0.600191,0,0.623042,0
0.6049,0,0.629208,0
0.590317,0,0.61388,0
0.591856,0,0.618196,0
0.608297,0,0.631999,0
0.604836,0,0.628167,0
0.60311,0,0.629396,0
0.590045,0,0.614143,0
0.610012,0,0.629427,0
0.595507,0,0.621771,0
0.606293,0,0.631346,0
0.597693,0,0.620419,0
0.616135,0,0.639575,0
0.612958,0,0.636746,0
0.612595,0,0.637222,0
0.613786,0,0.640348,0
0.608135,0,0.633359,0
0.610525,0,0.632487,0
0.6054,0,0.629239,0
0.610568,0,0.634562,0
0.600434,0,0.627437,0
0.611061,0,0.63507,0
0.611634,0,0.632607,0
0.618614,0,0.640763,0
0.609097,0,0.632978,0
0.618671,0,0.641849,0
0.619604,0,0.641641,0
0.620378,0,0.642638,0
0.619863,0,0.640978,0
0.606922,0,0.631786,0
0.616557,0,0.637705,0
0.619198,0,0.641549,0
0.619813,0,0.64176,0
0.620799,0,0.642435,0
0.619769,0,0.641096,0
0.62347,0,0.64618,0
0.620742,0,0.642207,0
0.621548,0,0.643657,0
0.624533,0,0.646194,0
0.623745,0,0.645198,0
