# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.074807,0.179205,0.116525,0.036038
0.177911,0.001301,0.183413,0.000910
0.252873,0.000004,0.242961,0.000010
0.340465,0.000000,0.335698,0.000000
-0.018397,0.741484,-0.023387,0.674925
0.385305,0.000000,0.377501,0.000000
0.387748,0.000000,0.421279,0.000000
0.379309,0.000000,0.419940,0.000000
0.329753,0.000000,0.336552,0.000000
0.397953,0.000000,0.387452,0.000000
0.354375,0.000000,0.355369,0.000000
0.395148,0.000000,0.402882,0.000000
0.388282,0.000000,0.376139,0.000000
0.363609,0.000000,0.343561,0.000000
0.400241,0.000000,0.400505,0.000000
0.375276,0.000000,0.366078,0.000000
0.451684,0.000000,0.420540,0.000000
0.463695,0.000000,0.457009,0.000000
0.439705,0.000000,0.437778,0.000000
0.497178,0.000000,0.492450,0.000000
0.456211,0.000000,0.447484,0.000000
0.497143,0.000000,0.491941,0.000000
0.487679,0.000000,0.484806,0.000000
0.449313,0.000000,0.436260,0.000000
0.478358,0.000000,0.463689,0.000000
0.459060,0.000000,0.460669,0.000000
0.434651,0.000000,0.421625,0.000000
0.515780,0.000000,0.511282,0.000000
0.438922,0.000000,0.430914,0.000000
0.546088,0.000000,0.542067,0.000000
0.534635,0.000000,0.514837,0.000000
0.429278,0.000000,0.398468,0.000000
0.539012,0.000000,0.515263,0.000000
0.546493,0.000000,0.534669,0.000000
0.537016,0.000000,0.535933,0.000000
0.518156,0.000000,0.509759,0.000000
0.529057,0.000000,0.526195,0.000000
0.527443,0.000000,0.526080,0.000000
0.502963,0.000000,0.494700,0.000000
0.555694,0.000000,0.550449,0.000000
0.576129,0.000000,0.564401,0.000000
0.484301,0.000000,0.472272,0.000000
0.552728,0.000000,0.537748,0.000000
0.548498,0.000000,0.541661,0.000000
0.540905,0.000000,0.524553,0.000000
0.567427,0.000000,0.546983,0.000000
0.547020,0.000000,0.540285,0.000000
0.562092,0.000000,0.553837,0.000000
0.566257,0.000000,0.539225,0.000000
0.543520,0.000000,0.503560,0.000000
0.551465,0.000000,0.532045,0.000000
0.604593,0.000000,0.580348,0.000000
0.543828,0.000000,0.520097,0.000000
0.571638,0.000000,0.558059,0.000000
0.580705,0.000000,0.557540,0.000000
0.575811,0.000000,0.554663,0.000000
0.586402,0.000000,0.576638,0.000000
0.489667,0.000000,0.451154,0.000000
0.595139,0.000000,0.569752,0.000000
0.599455,0.000000,0.585505,0.000000
0.571660,0.000000,0.547233,0.000000
0.618415,0.000000,0.603751,0.000000
0.575725,0.000000,0.551972,0.000000
0.577419,0.000000,0.556196,0.000000
0.579570,0.000000,0.566289,0.000000
0.601839,0.000000,0.589093,0.000000
0.598355,0.000000,0.580075,0.000000
0.570207,0.000000,0.557992,0.000000
0.596544,0.000000,0.576257,0.000000
0.615385,0.000000,0.597821,0.000000
0.580953,0.000000,0.559449,0.000000
0.590087,0.000000,0.573307,0.000000
0.603739,0.000000,0.585542,0.000000
0.572856,0.000000,0.550129,0.000000
0.587215,0.000000,0.573098,0.000000
0.604268,0.000000,0.589611,0.000000
0.586058,0.000000,0.568416,0.000000
0.591862,0.000000,0.571324,0.000000
0.601395,0.000000,0.575317,0.000000
0.616339,0.000000,0.598007,0.000000
0.601882,0.000000,0.584755,0.000000
0.609162,0.000000,0.582151,0.000000
0.616089,0.000000,0.594421,0.000000
0.616214,0.000000,0.601494,0.000000
0.612025,0.000000,0.587742,0.000000
0.614469,0.000000,0.592911,0.000000
0.613162,0.000000,0.589873,0.000000
0.627432,0.000000,0.611154,0.000000
0.613230,0.000000,0.588171,0.000000
0.621578,0.000000,0.601325,0.000000
