# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.261940,0.000000,0.220989,0.000000
0.277222,0.000000,0.267706,0.000000
0.292996,0.000000,0.258694,0.000000
0.298717,0.000000,0.259111,0.000000
0.288900,0.000000,0.270304,0.000000
0.270388,0.000000,0.255437,0.000000
0.298441,0.000000,0.277838,0.000000
0.279199,0.000000,0.261512,0.000000
0.306283,0.000000,0.283631,0.000000
0.297641,0.000000,0.280375,0.000000
0.299369,0.000000,0.265300,0.000000
0.322523,0.000000,0.284657,0.000000
0.306565,0.000000,0.279899,0.000000
0.299901,0.000000,0.277345,0.000000
0.306676,0.000000,0.275204,0.000000
0.302232,0.000000,0.275106,0.000000
0.314452,0.000000,0.280499,0.000000
0.305248,0.000000,0.273340,0.000000
0.284913,0.000000,0.255916,0.000000
0.309000,0.000000,0.281909,0.000000
0.299800,0.000000,0.271085,0.000000
0.293919,0.000000,0.268570,0.000000
0.293351,0.000000,0.272980,0.000000
0.303039,0.000000,0.278150,0.000000
0.295152,0.000000,0.272744,0.000000
0.299622,0.000000,0.272732,0.000000
0.280701,0.000000,0.262740,0.000000
0.295038,0.000000,0.267324,0.000000
0.303185,0.000000,0.276814,0.000000
0.315924,0.000000,0.282531,0.000000
0.311635,0.000000,0.279254,0.000000
0.308471,0.000000,0.283580,0.000000
0.307323,0.000000,0.278250,0.000000
0.307449,0.000000,0.274773,0.000000
0.310047,0.000000,0.284463,0.000000
0.311860,0.000000,0.281039,0.000000
0.308439,0.000000,0.279790,0.000000
0.300198,0.000000,0.271215,0.000000
0.281334,0.000000,0.259084,0.000000
0.297909,0.000000,0.274869,0.000000
0.301218,0.000000,0.282864,0.000000
0.310406,0.000000,0.286013,0.000000
0.317439,0.000000,0.284160,0.000000
0.311574,0.000000,0.279555,0.000000
0.305361,0.000000,0.274526,0.000000
0.296290,0.000000,0.277398,0.000000
0.306951,0.000000,0.284672,0.000000
0.292735,0.000000,0.279104,0.000000
0.311047,0.000000,0.282980,0.000000
0.294249,0.000000,0.269120,0.000000
0.310190,0.000000,0.283309,0.000000
0.321087,0.000000,0.289413,0.000000
0.291649,0.000000,0.274689,0.000000
0.296122,0.000000,0.272276,0.000000
0.305966,0.000000,0.279700,0.000000
0.303706,0.000000,0.282730,0.000000
0.310144,0.000000,0.279214,0.000000
0.304426,0.000000,0.280233,0.000000
0.302084,0.000000,0.284925,0.000000
0.299366,0.000000,0.280212,0.000000
0.304780,0.000000,0.281717,0.000000
0.306628,0.000000,0.283976,0.000000
0.302451,0.000000,0.281488,0.000000
0.321850,0.000000,0.289222,0.000000
0.304664,0.000000,0.278347,0.000000
0.311253,0.000000,0.282214,0.000000
0.302428,0.000000,0.282077,0.000000
0.302167,0.000000,0.283699,0.000000
0.299910,0.000000,0.276130,0.000000
0.310906,0.000000,0.283992,0.000000
0.299894,0.000000,0.281957,0.000000
0.307578,0.000000,0.283576,0.000000
0.312453,0.000000,0.277636,0.000000
0.325179,0.000000,0.287670,0.000000
0.310448,0.000000,0.287024,0.000000
0.303914,0.000000,0.282676,0.000000
0.307327,0.000000,0.283692,0.000000
0.320993,0.000000,0.288729,0.000000
0.310470,0.000000,0.283566,0.000000
0.306473,0.000000,0.283625,0.000000
0.313013,0.000000,0.288315,0.000000
0.305101,0.000000,0.285907,0.000000
0.311805,0.000000,0.286274,0.000000
0.314947,0.000000,0.288199,0.000000
0.313874,0.000000,0.288092,0.000000
0.315643,0.000000,0.286975,0.000000
0.310655,0.000000,0.286355,0.000000
0.308800,0.000000,0.285991,0.000000
0.313268,0.000000,0.287049,0.000000
0.310900,0.000000,0.286701,0.000000
