# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.596031,0.000000,0.535808,0.000000
0.631415,0.000000,0.581825,0.000000
0.627634,0.000000,0.572771,0.000000
0.621099,0.000000,0.561901,0.000000
0.632928,0.000000,0.585176,0.000000
0.629060,0.000000,0.581799,0.000000
0.637649,0.000000,0.588278,0.000000
0.631692,0.000000,0.582279,0.000000
0.640193,0.000000,0.589328,0.000000
0.640572,0.000000,0.597940,0.000000
0.631144,0.000000,0.575185,0.000000
0.624330,0.000000,0.571494,0.000000
0.639490,0.000000,0.588009,0.000000
0.640009,0.000000,0.591695,0.000000
0.551321,0.000000,0.509141,0.000000
0.631233,0.000000,0.579565,0.000000
0.632410,0.000000,0.579077,0.000000
0.636700,0.000000,0.579928,0.000000
0.630752,0.000000,0.578471,0.000000
0.639805,0.000000,0.589405,0.000000
0.634075,0.000000,0.580079,0.000000
0.638660,0.000000,0.594741,0.000000
0.639254,0.000000,0.594514,0.000000
0.640132,0.000000,0.590836,0.000000
0.640279,0.000000,0.593855,0.000000
0.641497,0.000000,0.595547,0.000000
0.637475,0.000000,0.594467,0.000000
0.636474,0.000000,0.588992,0.000000
0.643550,0.000000,0.596174,0.000000
0.637292,0.000000,0.583402,0.000000
0.631233,0.000000,0.577029,0.000000
0.644904,0.000000,0.599317,0.000000
0.639702,0.000000,0.592858,0.000000
0.636026,0.000000,0.586952,0.000000
0.643315,0.000000,0.597791,0.000000
0.639288,0.000000,0.593666,0.000000
0.639543,0.000000,0.591147,0.000000
0.640755,0.000000,0.592788,0.000000
0.636515,0.000000,0.593712,0.000000
0.643159,0.000000,0.599612,0.000000
0.643749,0.000000,0.597548,0.000000
0.643436,0.000000,0.595864,0.000000
0.638906,0.000000,0.588676,0.000000
0.640102,0.000000,0.590603,0.000000
0.638681,0.000000,0.589257,0.000000
0.642643,0.000000,0.595985,0.000000
0.643700,0.000000,0.592715,0.000000
0.642684,0.000000,0.598958,0.000000
0.641668,0.000000,0.592613,0.000000
0.639350,0.000000,0.592365,0.000000
0.641115,0.000000,0.591540,0.000000
0.638035,0.000000,0.587026,0.000000
0.640483,0.000000,0.596638,0.000000
0.642636,0.000000,0.598747,0.000000
0.644533,0.000000,0.595460,0.000000
0.646373,0.000000,0.601130,0.000000
0.641087,0.000000,0.593153,0.000000
0.644817,0.000000,0.599102,0.000000
0.645324,0.000000,0.600189,0.000000
0.643885,0.000000,0.599637,0.000000
0.645404,0.000000,0.597958,0.000000
0.644839,0.000000,0.600059,0.000000
0.643037,0.000000,0.598737,0.000000
0.642114,0.000000,0.592632,0.000000
0.642670,0.000000,0.595040,0.000000
0.642032,0.000000,0.591430,0.000000
0.644892,0.000000,0.599402,0.000000
0.645937,0.000000,0.602514,0.000000
0.643948,0.000000,0.599187,0.000000
0.645192,0.000000,0.599157,0.000000
0.644771,0.000000,0.601724,0.000000
0.644927,0.000000,0.599716,0.000000
0.639251,0.000000,0.588654,0.000000
0.631853,0.000000,0.582581,0.000000
0.646619,0.000000,0.599967,0.000000
0.645365,0.000000,0.600884,0.000000
0.645863,0.000000,0.598887,0.000000
0.642376,0.000000,0.593040,0.000000
0.645590,0.000000,0.597537,0.000000
0.647117,0.000000,0.602237,0.000000
0.645888,0.000000,0.599421,0.000000
0.645167,0.000000,0.601930,0.000000
0.645039,0.000000,0.597572,0.000000
0.645520,0.000000,0.598010,0.000000
0.645578,0.000000,0.598493,0.000000
0.644770,0.000000,0.597113,0.000000
0.645668,0.000000,0.599272,0.000000
0.645619,0.000000,0.599945,0.000000
0.645442,0.000000,0.598407,0.000000
0.646041,0.000000,0.599776,0.000000
