# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.126516,0.000000,0.151726,0.000000
0.158369,0.000000,0.150771,0.000000
0.124231,0.000000,0.147906,0.000000
0.175518,0.000000,0.165603,0.000000
0.124231,0.000000,0.135371,0.000000
0.154173,0.000000,0.188331,0.000000
0.208195,0.000000,0.190293,0.000000
0.168363,0.000000,0.188777,0.000000
0.195125,0.000000,0.203387,0.000000
0.193816,0.000000,0.188760,0.000000
0.177404,0.000000,0.199144,0.000000
0.200926,0.000000,0.202800,0.000000
0.198927,0.000000,0.203131,0.000000
0.239539,0.000000,0.247032,0.000000
0.248147,0.000000,0.244315,0.000000
0.216596,0.000000,0.227718,0.000000
0.220721,0.000000,0.238754,0.000000
0.210988,0.000000,0.211310,0.000000
0.263844,0.000000,0.262821,0.000000
0.225842,0.000000,0.201972,0.000000
0.269010,0.000000,0.256732,0.000000
0.284913,0.000000,0.281082,0.000000
0.266860,0.000000,0.259034,0.000000
0.275477,0.000000,0.264294,0.000000
0.282976,0.000000,0.269030,0.000000
0.278798,0.000000,0.264782,0.000000
0.279540,0.000000,0.274134,0.000000
0.283557,0.000000,0.267893,0.000000
0.306346,0.000000,0.296289,0.000000
0.293341,0.000000,0.291982,0.000000
0.291122,0.000000,0.275767,0.000000
0.323653,0.000000,0.316185,0.000000
0.315994,0.000000,0.320639,0.000000
0.314144,0.000000,0.312048,0.000000
0.320157,0.000000,0.319515,0.000000
0.328354,0.000000,0.320944,0.000000
0.328628,0.000000,0.327836,0.000000
0.309941,0.000000,0.301816,0.000000
0.353834,0.000000,0.348072,0.000000
0.334335,0.000000,0.328691,0.000000
0.345618,0.000000,0.350443,0.000000
0.265025,0.000000,0.252869,0.000000
0.355767,0.000000,0.360145,0.000000
0.367632,0.000000,0.368537,0.000000
0.363327,0.000000,0.361669,0.000000
0.372237,0.000000,0.376838,0.000000
0.376517,0.000000,0.374385,0.000000
0.353650,0.000000,0.342479,0.000000
0.366872,0.000000,0.368875,0.000000
0.369287,0.000000,0.374012,0.000000
0.386504,0.000000,0.387511,0.000000
0.364648,0.000000,0.369744,0.000000
0.363061,0.000000,0.363238,0.000000
0.407347,0.000000,0.409158,0.000000
0.345559,0.000000,0.350317,0.000000
0.387230,0.000000,0.391868,0.000000
0.360149,0.000000,0.361246,0.000000
0.395926,0.000000,0.399562,0.000000
0.411621,0.000000,0.410964,0.000000
0.395107,0.000000,0.398387,0.000000
0.396575,0.000000,0.399261,0.000000
0.394044,0.000000,0.398254,0.000000
0.404582,0.000000,0.407535,0.000000
0.409769,0.000000,0.412191,0.000000
0.397010,0.000000,0.404050,0.000000
0.394798,0.000000,0.393854,0.000000
0.383804,0.000000,0.392070,0.000000
0.394397,0.000000,0.402269,0.000000
0.395767,0.000000,0.400284,0.000000
0.425460,0.000000,0.428286,0.000000
0.418437,0.000000,0.420744,0.000000
0.410685,0.000000,0.417015,0.000000
0.417102,0.000000,0.418084,0.000000
0.401265,0.000000,0.405613,0.000000
0.430657,0.000000,0.433160,0.000000
0.418496,0.000000,0.422530,0.000000
0.420847,0.000000,0.422977,0.000000
0.440886,0.000000,0.442963,0.000000
0.422962,0.000000,0.427090,0.000000
0.437050,0.000000,0.441955,0.000000
0.428777,0.000000,0.430642,0.000000
0.414680,0.000000,0.419586,0.000000
0.416743,0.000000,0.421544,0.000000
0.424337,0.000000,0.431340,0.000000
0.420372,0.000000,0.426482,0.000000
0.428078,0.000000,0.431363,0.000000
0.433654,0.000000,0.437019,0.000000
0.432927,0.000000,0.436809,0.000000
0.429164,0.000000,0.434211,0.000000
0.435285,0.000000,0.438579,0.000000
