# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.509570,0.000000,0.403335,0.000000
0.525450,0.000000,0.434171,0.000000
0.560450,0.000000,0.424084,0.000000
0.338171,0.000000,0.289043,0.000000
0.554625,0.000000,0.420863,0.000000
0.562926,0.000000,0.434543,0.000000
0.564071,0.000000,0.443260,0.000000
0.562390,0.000000,0.428438,0.000000
0.570249,0.000000,0.456126,0.000000
0.560846,0.000000,0.426516,0.000000
0.564870,0.000000,0.424237,0.000000
0.581642,0.000000,0.459326,0.000000
0.540556,0.000000,0.430150,0.000000
0.523341,0.000000,0.425065,0.000000
0.530666,0.000000,0.417179,0.000000
0.540929,0.000000,0.428995,0.000000
0.574336,0.000000,0.447163,0.000000
0.574998,0.000000,0.457201,0.000000
0.517163,0.000000,0.416093,0.000000
0.535691,0.000000,0.425719,0.000000
0.454629,0.000000,0.362846,0.000000
0.527930,0.000000,0.417928,0.000000
0.539753,0.000000,0.422740,0.000000
0.548526,0.000000,0.434497,0.000000
0.564538,0.000000,0.433833,0.000000
0.558117,0.000000,0.434675,0.000000
0.495045,0.000000,0.391587,0.000000
0.552743,0.000000,0.439858,0.000000
0.537069,0.000000,0.429626,0.000000
0.544399,0.000000,0.433307,0.000000
