# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.097280,0.080392,0.050370,0.366142
0.099083,0.074914,0.095911,0.084763
0.101621,0.067723,0.095930,0.084699
0.110105,0.047675,0.055304,0.321013
0.136999,0.013583,0.092716,0.095707
0.155411,0.005053,0.078207,0.160190
0.121192,0.029179,0.032300,0.562386
0.171535,0.001944,0.123849,0.025797
0.130613,0.018671,0.056889,0.307316
0.183252,0.000920,0.147266,0.007930
0.156082,0.004864,0.061068,0.273079
0.122932,0.026923,0.041561,0.455952
0.175878,0.001481,0.118683,0.032712
0.147410,0.007869,0.060074,0.280976
0.111427,0.045051,0.041585,0.455689
0.215249,0.000094,0.159679,0.003956
0.173395,0.001731,0.138123,0.012827
0.216648,0.000084,0.168766,0.002304
0.170472,0.002076,0.129093,0.020102
0.189947,0.000588,0.162662,0.003323
0.189147,0.000621,0.142197,0.010386
0.191110,0.000543,0.143245,0.009830
0.211287,0.000127,0.164099,0.003052
0.211137,0.000129,0.168565,0.002333
0.193847,0.000450,0.158227,0.004303
0.220634,0.000062,0.182494,0.000967
0.216159,0.000088,0.185166,0.000811
0.203020,0.000235,0.182043,0.000996
0.208712,0.000154,0.171502,0.001948
0.207143,0.000173,0.174826,0.001583
