# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.358391,0.000000,0.353348,0.000000
0.414974,0.000000,0.388661,0.000000
0.413780,0.000000,0.375752,0.000000
0.408268,0.000000,0.375974,0.000000
0.423340,0.000000,0.378820,0.000000
0.388277,0.000000,0.359527,0.000000
0.372793,0.000000,0.343784,0.000000
0.407067,0.000000,0.375264,0.000000
0.419838,0.000000,0.378123,0.000000
0.409260,0.000000,0.385733,0.000000
0.439168,0.000000,0.417410,0.000000
0.399042,0.000000,0.368149,0.000000
0.332406,0.000000,0.312905,0.000000
0.420591,0.000000,0.388798,0.000000
0.443214,0.000000,0.403361,0.000000
0.444846,0.000000,0.420241,0.000000
0.445006,0.000000,0.415366,0.000000
0.421810,0.000000,0.371275,0.000000
0.444016,0.000000,0.407337,0.000000
0.443586,0.000000,0.409137,0.000000
0.444971,0.000000,0.404785,0.000000
0.450130,0.000000,0.433334,0.000000
0.400294,0.000000,0.374406,0.000000
0.404955,0.000000,0.365874,0.000000
0.483323,0.000000,0.458547,0.000000
0.443537,0.000000,0.411551,0.000000
0.463709,0.000000,0.442401,0.000000
0.477579,0.000000,0.454881,0.000000
0.474013,0.000000,0.461953,0.000000
0.479388,0.000000,0.462855,0.000000
