# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.513404,0.000000,0.410431,0.000000
0.603589,0.000000,0.518904,0.000000
0.502982,0.000000,0.439523,0.000000
0.551573,0.000000,0.473071,0.000000
0.373911,0.000000,0.286810,0.000000
0.500998,0.000000,0.370542,0.000000
0.363152,0.000000,0.306334,0.000000
0.471043,0.000000,0.333426,0.000000
0.192165,0.000505,0.140403,0.011405
0.452208,0.000000,0.345908,0.000000
0.472083,0.000000,0.397806,0.000000
0.566577,0.000000,0.451685,0.000000
0.458050,0.000000,0.375396,0.000000
0.585346,0.000000,0.486553,0.000000
0.463519,0.000000,0.380069,0.000000
0.577060,0.000000,0.464308,0.000000
0.570565,0.000000,0.444892,0.000000
0.449144,0.000000,0.384386,0.000000
0.262611,0.000002,0.224025,0.000047
0.555760,0.000000,0.504252,0.000000
0.448974,0.000000,0.419777,0.000000
0.544556,0.000000,0.488812,0.000000
0.570328,0.000000,0.461586,0.000000
0.568978,0.000000,0.511786,0.000000
0.476780,0.000000,0.432372,0.000000
0.558203,0.000000,0.507014,0.000000
0.566004,0.000000,0.481661,0.000000
0.414182,0.000000,0.378474,0.000000
0.424043,0.000000,0.382673,0.000000
0.515444,0.000000,0.459028,0.000000
