# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.670635,0.000000,0.652847,0.000000
0.680044,0.000000,0.685953,0.000000
0.746162,0.000000,0.731032,0.000000
0.748860,0.000000,0.768759,0.000000
0.730947,0.000000,0.755641,0.000000
0.752784,0.000000,0.750525,0.000000
0.759992,0.000000,0.768433,0.000000
0.770864,0.000000,0.774535,0.000000
0.763369,0.000000,0.768107,0.000000
0.746974,0.000000,0.770980,0.000000
0.770826,0.000000,0.775860,0.000000
0.766479,0.000000,0.776511,0.000000
0.760021,0.000000,0.768560,0.000000
0.766648,0.000000,0.760539,0.000000
0.767525,0.000000,0.772959,0.000000
0.735335,0.000000,0.760027,0.000000
0.758569,0.000000,0.759159,0.000000
0.765199,0.000000,0.769223,0.000000
0.765599,0.000000,0.775036,0.000000
0.752512,0.000000,0.758431,0.000000
0.761748,0.000000,0.764306,0.000000
0.768103,0.000000,0.774538,0.000000
0.765722,0.000000,0.772771,0.000000
0.754487,0.000000,0.768816,0.000000
0.766781,0.000000,0.769067,0.000000
0.770573,0.000000,0.769416,0.000000
0.770204,0.000000,0.771344,0.000000
0.761917,0.000000,0.770501,0.000000
0.765961,0.000000,0.767691,0.000000
0.762011,0.000000,0.766774,0.000000
