# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.256556,0.000003,0.267000,0.000001
0.269905,0.000001,0.250573,0.000005
0.288238,0.000000,0.298204,0.000000
0.276991,0.000000,0.290115,0.000000
0.326172,0.000000,0.347596,0.000000
0.289381,0.000000,0.306289,0.000000
0.326614,0.000000,0.293070,0.000000
0.305844,0.000000,0.317814,0.000000
0.303470,0.000000,0.324304,0.000000
0.322818,0.000000,0.325389,0.000000
0.297008,0.000000,0.312376,0.000000
0.291952,0.000000,0.305642,0.000000
0.311609,0.000000,0.320201,0.000000
0.301690,0.000000,0.315417,0.000000
0.305074,0.000000,0.312643,0.000000
0.351918,0.000000,0.357624,0.000000
0.327144,0.000000,0.331770,0.000000
0.339783,0.000000,0.345690,0.000000
0.340082,0.000000,0.339708,0.000000
0.324991,0.000000,0.338830,0.000000
0.323576,0.000000,0.307917,0.000000
0.317766,0.000000,0.314192,0.000000
0.326669,0.000000,0.334462,0.000000
0.332918,0.000000,0.327577,0.000000
0.316292,0.000000,0.322779,0.000000
0.341119,0.000000,0.336080,0.000000
0.341841,0.000000,0.333982,0.000000
0.325348,0.000000,0.331472,0.000000
0.338623,0.000000,0.344318,0.000000
0.335439,0.000000,0.343906,0.000000
