# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.109757,0.048386,0.099737,0.073004
0.217104,0.000082,0.177274,0.001355
0.155020,0.005166,0.141553,0.010743
0.074568,0.180601,0.115914,0.037031
0.261044,0.000002,0.243584,0.000009
0.265501,0.000001,0.267633,0.000001
0.282134,0.000000,0.281414,0.000000
0.260262,0.000002,0.228757,0.000032
0.277075,0.000000,0.254149,0.000004
0.267750,0.000001,0.240916,0.000012
0.257951,0.000003,0.231406,0.000026
0.275918,0.000000,0.250383,0.000005
0.230504,0.000028,0.220836,0.000061
0.261406,0.000002,0.221080,0.000060
0.288536,0.000000,0.244926,0.000008
0.283505,0.000000,0.259382,0.000002
0.265743,0.000001,0.234276,0.000020
0.276996,0.000000,0.246904,0.000007
0.285288,0.000000,0.235510,0.000018
0.266813,0.000001,0.241953,0.000011
0.284496,0.000000,0.249993,0.000005
0.278498,0.000000,0.258329,0.000002
0.270261,0.000001,0.239009,0.000014
0.274163,0.000001,0.248904,0.000006
0.271938,0.000001,0.248634,0.000006
0.264227,0.000001,0.236192,0.000017
0.272736,0.000001,0.250079,0.000005
0.271009,0.000001,0.240804,0.000012
0.270208,0.000001,0.239285,0.000013
0.270640,0.000001,0.241524,0.000011
