# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.377172,0.000000,0.331399,0.000000
0.555642,0.000000,0.494827,0.000000
0.567793,0.000000,0.490453,0.000000
0.569286,0.000000,0.476369,0.000000
0.567919,0.000000,0.467866,0.000000
0.580386,0.000000,0.491809,0.000000
0.568917,0.000000,0.487511,0.000000
0.562123,0.000000,0.416969,0.000000
0.552847,0.000000,0.364971,0.000000
0.583303,0.000000,0.444725,0.000000
0.577605,0.000000,0.507655,0.000000
0.549720,0.000000,0.402296,0.000000
0.549698,0.000000,0.399859,0.000000
0.531417,0.000000,0.435786,0.000000
0.582336,0.000000,0.486917,0.000000
0.570457,0.000000,0.453076,0.000000
0.576882,0.000000,0.490268,0.000000
0.565754,0.000000,0.437683,0.000000
0.582606,0.000000,0.483551,0.000000
0.570443,0.000000,0.445819,0.000000
0.554402,0.000000,0.420509,0.000000
0.574254,0.000000,0.481560,0.000000
0.572563,0.000000,0.472418,0.000000
0.576999,0.000000,0.460081,0.000000
0.581420,0.000000,0.480948,0.000000
0.593458,0.000000,0.499007,0.000000
0.589569,0.000000,0.495536,0.000000
0.590045,0.000000,0.499699,0.000000
0.602714,0.000000,0.519085,0.000000
0.603739,0.000000,0.517228,0.000000
