# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.434304,0.000000,0.432966,0.000000
0.423560,0.000000,0.421539,0.000000
-0.173155,0.001758,-0.201272,0.000266
0.265676,0.000001,0.263365,0.000002
0.262273,0.000002,0.261925,0.000002
0.195215,0.000409,0.183708,0.000893
-0.090455,0.104113,-0.069648,0.211178
0.360301,0.000000,0.360397,0.000000
0.242559,0.000010,0.236847,0.000016
0.325537,0.000000,0.307572,0.000000
0.268507,0.000001,0.247976,0.000006
0.185937,0.000770,0.211895,0.000121
0.255503,0.000003,0.252155,0.000004
0.310697,0.000000,0.308337,0.000000
0.234627,0.000020,0.231384,0.000026
0.240594,0.000012,0.243319,0.000009
0.114635,0.039182,0.138688,0.012461
0.368556,0.000000,0.370501,0.000000
0.264405,0.000001,0.275649,0.000000
0.253186,0.000004,0.247549,0.000007
0.371064,0.000000,0.365006,0.000000
0.419429,0.000000,0.407899,0.000000
0.252228,0.000004,0.257336,0.000003
0.355561,0.000000,0.339600,0.000000
0.324898,0.000000,0.310218,0.000000
0.346366,0.000000,0.364618,0.000000
0.261759,0.000002,0.293045,0.000000
0.355208,0.000000,0.367801,0.000000
0.196111,0.000384,0.202920,0.000236
0.234974,0.000019,0.249551,0.000005
0.412834,0.000000,0.407058,0.000000
0.267120,0.000001,0.294904,0.000000
0.224978,0.000044,0.238656,0.000014
0.315412,0.000000,0.302035,0.000000
0.459191,0.000000,0.462473,0.000000
0.404810,0.000000,0.417156,0.000000
0.421073,0.000000,0.431006,0.000000
0.492856,0.000000,0.485925,0.000000
0.522671,0.000000,0.537753,0.000000
0.452878,0.000000,0.457284,0.000000
0.449362,0.000000,0.457321,0.000000
0.541603,0.000000,0.550949,0.000000
0.514880,0.000000,0.538060,0.000000
0.495976,0.000000,0.489587,0.000000
0.575974,0.000000,0.578405,0.000000
0.473133,0.000000,0.490093,0.000000
0.561051,0.000000,0.566088,0.000000
0.560774,0.000000,0.551305,0.000000
0.559701,0.000000,0.586443,0.000000
0.557896,0.000000,0.570843,0.000000
0.472977,0.000000,0.494253,0.000000
0.546777,0.000000,0.552834,0.000000
0.522586,0.000000,0.531030,0.000000
0.520776,0.000000,0.535248,0.000000
0.528465,0.000000,0.548593,0.000000
0.557121,0.000000,0.579745,0.000000
0.614766,0.000000,0.625925,0.000000
0.570171,0.000000,0.585010,0.000000
0.504635,0.000000,0.520045,0.000000
0.546950,0.000000,0.566250,0.000000
0.548169,0.000000,0.570414,0.000000
0.589717,0.000000,0.619310,0.000000
0.536035,0.000000,0.558767,0.000000
0.582395,0.000000,0.584714,0.000000
0.578876,0.000000,0.599625,0.000000
0.574561,0.000000,0.595259,0.000000
0.605677,0.000000,0.622299,0.000000
0.615404,0.000000,0.625798,0.000000
0.623558,0.000000,0.630635,0.000000
0.599089,0.000000,0.610523,0.000000
0.656800,0.000000,0.662670,0.000000
0.597357,0.000000,0.604838,0.000000
0.586287,0.000000,0.599797,0.000000
0.561997,0.000000,0.574542,0.000000
0.596131,0.000000,0.605420,0.000000
0.623386,0.000000,0.631695,0.000000
0.611761,0.000000,0.621483,0.000000
0.613859,0.000000,0.620308,0.000000
0.601578,0.000000,0.615307,0.000000
0.613776,0.000000,0.624418,0.000000
0.639567,0.000000,0.649607,0.000000
0.626410,0.000000,0.638843,0.000000
0.627243,0.000000,0.641586,0.000000
0.627572,0.000000,0.632848,0.000000
0.605581,0.000000,0.615449,0.000000
0.617596,0.000000,0.626393,0.000000
0.615723,0.000000,0.624159,0.000000
0.616576,0.000000,0.626669,0.000000
0.617375,0.000000,0.626753,0.000000
0.618566,0.000000,0.627849,0.000000
