# S_pear_r,S_pear_p,S_spea_r,S_spea_p
-0.021758,0.696408,-0.070953,0.202726
0.100614,0.070507,0.110830,0.046221
0.082013,0.140747,0.096432,0.083078
0.098922,0.075392,0.137911,0.012967
0.156594,0.004724,0.183850,0.000885
0.186497,0.000742,0.205717,0.000193
0.156591,0.004725,0.158061,0.004344
0.186611,0.000736,0.191150,0.000541
0.221165,0.000059,0.227819,0.000035
0.290625,0.000000,0.305299,0.000000
0.246477,0.000007,0.263845,0.000001
0.198142,0.000333,0.224031,0.000047
0.273748,0.000001,0.298464,0.000000
0.265762,0.000001,0.286703,0.000000
0.284359,0.000000,0.302231,0.000000
0.225087,0.000043,0.245135,0.000008
0.214896,0.000097,0.235444,0.000019
0.259900,0.000002,0.271374,0.000001
0.247696,0.000006,0.262753,0.000002
0.277326,0.000000,0.298947,0.000000
0.279140,0.000000,0.286756,0.000000
0.265083,0.000001,0.269162,0.000001
0.261069,0.000002,0.281616,0.000000
0.239430,0.000013,0.241607,0.000011
0.266406,0.000001,0.292137,0.000000
0.264289,0.000001,0.290366,0.000000
0.230533,0.000028,0.265738,0.000001
0.318740,0.000000,0.334827,0.000000
0.237671,0.000015,0.256854,0.000003
0.332838,0.000000,0.349881,0.000000
0.208560,0.000156,0.229068,0.000031
0.279287,0.000000,0.292984,0.000000
0.326911,0.000000,0.340809,0.000000
0.277919,0.000000,0.296087,0.000000
0.244159,0.000009,0.240575,0.000012
0.255767,0.000003,0.277411,0.000000
0.296614,0.000000,0.315783,0.000000
0.274098,0.000001,0.298671,0.000000
0.310120,0.000000,0.319859,0.000000
0.313801,0.000000,0.323503,0.000000
0.292808,0.000000,0.312931,0.000000
0.311278,0.000000,0.330855,0.000000
0.299381,0.000000,0.323814,0.000000
0.340286,0.000000,0.357917,0.000000
0.211840,0.000122,0.225620,0.000042
0.330976,0.000000,0.346330,0.000000
0.304788,0.000000,0.335036,0.000000
0.334785,0.000000,0.363627,0.000000
0.313917,0.000000,0.317955,0.000000
0.310407,0.000000,0.327804,0.000000
0.334699,0.000000,0.356043,0.000000
0.367070,0.000000,0.389384,0.000000
0.354106,0.000000,0.380516,0.000000
0.275497,0.000000,0.305120,0.000000
0.310322,0.000000,0.327844,0.000000
0.323245,0.000000,0.345184,0.000000
0.354482,0.000000,0.383931,0.000000
0.364332,0.000000,0.387515,0.000000
0.346438,0.000000,0.380131,0.000000
0.316462,0.000000,0.344851,0.000000
0.308395,0.000000,0.330219,0.000000
0.352067,0.000000,0.382431,0.000000
0.313844,0.000000,0.341012,0.000000
0.367031,0.000000,0.394849,0.000000
0.373408,0.000000,0.416921,0.000000
0.346546,0.000000,0.383972,0.000000
0.362943,0.000000,0.388546,0.000000
0.345580,0.000000,0.394881,0.000000
0.389168,0.000000,0.420518,0.000000
0.348962,0.000000,0.386361,0.000000
0.379245,0.000000,0.412574,0.000000
0.385028,0.000000,0.410671,0.000000
0.373263,0.000000,0.407812,0.000000
0.389340,0.000000,0.422408,0.000000
0.386624,0.000000,0.414945,0.000000
0.358057,0.000000,0.409541,0.000000
0.391983,0.000000,0.424539,0.000000
0.391012,0.000000,0.411607,0.000000
0.394265,0.000000,0.423770,0.000000
0.393190,0.000000,0.419695,0.000000
0.388072,0.000000,0.419572,0.000000
0.384953,0.000000,0.423141,0.000000
0.402152,0.000000,0.426371,0.000000
0.398518,0.000000,0.422065,0.000000
0.370946,0.000000,0.409372,0.000000
0.402017,0.000000,0.426540,0.000000
0.395766,0.000000,0.430078,0.000000
0.411877,0.000000,0.442675,0.000000
0.392933,0.000000,0.426167,0.000000
0.401700,0.000000,0.429984,0.000000
