# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.124970,0.024475,0.079616,0.152770
0.093072,0.094434,0.057105,0.305476
0.227810,0.000035,0.205444,0.000196
0.121551,0.028700,0.092530,0.096380
0.200299,0.000285,0.185272,0.000805
0.168801,0.002299,0.149383,0.007068
0.218547,0.000073,0.228065,0.000034
0.239443,0.000013,0.245220,0.000008
0.281279,0.000000,0.286541,0.000000
0.235917,0.000018,0.244639,0.000008
0.282093,0.000000,0.284945,0.000000
0.316928,0.000000,0.310084,0.000000
0.296508,0.000000,0.307741,0.000000
0.340728,0.000000,0.347089,0.000000
0.306477,0.000000,0.312892,0.000000
0.311086,0.000000,0.315270,0.000000
0.337282,0.000000,0.345863,0.000000
0.238744,0.000014,0.289084,0.000000
0.316389,0.000000,0.323561,0.000000
0.289643,0.000000,0.288784,0.000000
0.326382,0.000000,0.320993,0.000000
0.315609,0.000000,0.316311,0.000000
0.363245,0.000000,0.384097,0.000000
0.302167,0.000000,0.317877,0.000000
0.325728,0.000000,0.323354,0.000000
0.305454,0.000000,0.324510,0.000000
0.303767,0.000000,0.295066,0.000000
0.352997,0.000000,0.357629,0.000000
0.375461,0.000000,0.385681,0.000000
0.370540,0.000000,0.372549,0.000000
0.299385,0.000000,0.292937,0.000000
0.327755,0.000000,0.341122,0.000000
0.313953,0.000000,0.310281,0.000000
0.368345,0.000000,0.380319,0.000000
0.379698,0.000000,0.385579,0.000000
0.389925,0.000000,0.405703,0.000000
0.376140,0.000000,0.381393,0.000000
0.324835,0.000000,0.308345,0.000000
0.370429,0.000000,0.388591,0.000000
0.366297,0.000000,0.362461,0.000000
0.373153,0.000000,0.365843,0.000000
0.369970,0.000000,0.372157,0.000000
0.401789,0.000000,0.413531,0.000000
0.375854,0.000000,0.383707,0.000000
0.375716,0.000000,0.377426,0.000000
0.362895,0.000000,0.356678,0.000000
0.393025,0.000000,0.401876,0.000000
0.385230,0.000000,0.386984,0.000000
0.373749,0.000000,0.375184,0.000000
0.395831,0.000000,0.401617,0.000000
0.404984,0.000000,0.401149,0.000000
0.383388,0.000000,0.388658,0.000000
0.356033,0.000000,0.355805,0.000000
0.380729,0.000000,0.384083,0.000000
0.401520,0.000000,0.408685,0.000000
0.400315,0.000000,0.406224,0.000000
0.403362,0.000000,0.413171,0.000000
0.408217,0.000000,0.413677,0.000000
0.375405,0.000000,0.384951,0.000000
0.389353,0.000000,0.404532,0.000000
0.402255,0.000000,0.414984,0.000000
0.383223,0.000000,0.397305,0.000000
0.388733,0.000000,0.392392,0.000000
0.394934,0.000000,0.411653,0.000000
0.387462,0.000000,0.396175,0.000000
0.397982,0.000000,0.407593,0.000000
0.383136,0.000000,0.395245,0.000000
0.408794,0.000000,0.429069,0.000000
0.393990,0.000000,0.410437,0.000000
0.383092,0.000000,0.395755,0.000000
0.398665,0.000000,0.410568,0.000000
0.398822,0.000000,0.416218,0.000000
0.395079,0.000000,0.411151,0.000000
0.370920,0.000000,0.386491,0.000000
0.381506,0.000000,0.405168,0.000000
0.391869,0.000000,0.407743,0.000000
0.388976,0.000000,0.405499,0.000000
0.393100,0.000000,0.419613,0.000000
0.399440,0.000000,0.423271,0.000000
0.387720,0.000000,0.407219,0.000000
0.402001,0.000000,0.425774,0.000000
0.399189,0.000000,0.428490,0.000000
0.394174,0.000000,0.416570,0.000000
0.382381,0.000000,0.402928,0.000000
0.393125,0.000000,0.415480,0.000000
0.399465,0.000000,0.425932,0.000000
0.390398,0.000000,0.416501,0.000000
0.386721,0.000000,0.409003,0.000000
0.396567,0.000000,0.422406,0.000000
0.392880,0.000000,0.417847,0.000000
