# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.359310,0.000000,0.348962,0.000000
-0.064780,0.244930,0.018109,0.745388
-0.040878,0.463393,-0.097971,0.078255
0.365098,0.000000,0.276079,0.000000
0.129474,0.019735,0.018820,0.735755
0.222045,0.000055,0.083629,0.133063
-0.092128,0.097840,-0.151240,0.006382
0.166754,0.002603,0.075430,0.175603
0.199741,0.000297,0.069861,0.209782
0.309793,0.000000,0.224678,0.000045
0.214850,0.000097,0.083535,0.133502
0.176540,0.001420,0.134054,0.015755
0.216877,0.000083,0.095311,0.086737
0.316967,0.000000,0.226549,0.000039
0.197947,0.000337,0.103051,0.063929
0.037618,0.499838,-0.034746,0.533157
-0.110892,0.046098,-0.141688,0.010667
0.376604,0.000000,0.295557,0.000000
0.152016,0.006113,0.049635,0.373182
0.149288,0.007105,0.057582,0.301449
0.282797,0.000000,0.188016,0.000670
0.317916,0.000000,0.233342,0.000022
0.092479,0.096561,0.004955,0.929202
0.355507,0.000000,0.273689,0.000001
0.205612,0.000194,0.109033,0.049896
0.249759,0.000005,0.150683,0.006581
0.269920,0.000001,0.190129,0.000581
0.160181,0.003843,0.115175,0.038263
0.218035,0.000076,0.181301,0.001045
0.181788,0.001013,0.138052,0.012874
0.207689,0.000166,0.213554,0.000107
0.284839,0.000000,0.249824,0.000005
0.316838,0.000000,0.268791,0.000001
0.350850,0.000000,0.307135,0.000000
0.310139,0.000000,0.283241,0.000000
0.311883,0.000000,0.280334,0.000000
0.307007,0.000000,0.265346,0.000001
0.387136,0.000000,0.402202,0.000000
0.356257,0.000000,0.320063,0.000000
0.299838,0.000000,0.260231,0.000002
0.313468,0.000000,0.295365,0.000000
0.358677,0.000000,0.355673,0.000000
0.280865,0.000000,0.244336,0.000009
0.327385,0.000000,0.288756,0.000000
0.245840,0.000008,0.207356,0.000171
0.293469,0.000000,0.277481,0.000000
0.372410,0.000000,0.347520,0.000000
0.350974,0.000000,0.306382,0.000000
0.278162,0.000000,0.230850,0.000027
0.280186,0.000000,0.238038,0.000015
0.342739,0.000000,0.298390,0.000000
0.316950,0.000000,0.245996,0.000007
0.377302,0.000000,0.373990,0.000000
0.401881,0.000000,0.404503,0.000000
0.289990,0.000000,0.239204,0.000013
0.351724,0.000000,0.286631,0.000000
0.396150,0.000000,0.396334,0.000000
0.344703,0.000000,0.305100,0.000000
0.380517,0.000000,0.352836,0.000000
0.351205,0.000000,0.323030,0.000000
0.421228,0.000000,0.405542,0.000000
0.367461,0.000000,0.353583,0.000000
0.391112,0.000000,0.353532,0.000000
0.429750,0.000000,0.455579,0.000000
0.413342,0.000000,0.397274,0.000000
0.353913,0.000000,0.316716,0.000000
0.305880,0.000000,0.259095,0.000002
0.371406,0.000000,0.349610,0.000000
0.411291,0.000000,0.412228,0.000000
0.416723,0.000000,0.395733,0.000000
0.413957,0.000000,0.407810,0.000000
0.400177,0.000000,0.362149,0.000000
0.423750,0.000000,0.392596,0.000000
0.437986,0.000000,0.424251,0.000000
0.367346,0.000000,0.328467,0.000000
0.416196,0.000000,0.369052,0.000000
0.349350,0.000000,0.294438,0.000000
0.341571,0.000000,0.281634,0.000000
0.434494,0.000000,0.434430,0.000000
0.386099,0.000000,0.344564,0.000000
0.380431,0.000000,0.346772,0.000000
0.401368,0.000000,0.385877,0.000000
0.399729,0.000000,0.368095,0.000000
0.410009,0.000000,0.388992,0.000000
0.378689,0.000000,0.328698,0.000000
0.331701,0.000000,0.274206,0.000001
0.403727,0.000000,0.361393,0.000000
0.392212,0.000000,0.355873,0.000000
0.379755,0.000000,0.335828,0.000000
0.386943,0.000000,0.347489,0.000000
