# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.008935,0.872716,0.145216,0.008853
0.072693,0.191843,0.123747,0.025920
0.009410,0.866007,0.106266,0.056030
0.096404,0.083167,0.130961,0.018356
0.024191,0.664424,0.145991,0.008494
0.054704,0.326295,0.156248,0.004818
0.111867,0.044206,0.203798,0.000222
0.067390,0.226394,0.192760,0.000485
0.093616,0.092516,0.170794,0.002035
0.115243,0.038147,0.191162,0.000541
0.109133,0.049684,0.184302,0.000858
0.087478,0.116058,0.190247,0.000576
0.102763,0.064677,0.168774,0.002303
0.077927,0.161696,0.185311,0.000803
0.056139,0.313747,0.162889,0.003279
0.043063,0.439826,0.115869,0.037104
0.108569,0.050882,0.161519,0.003554
0.124095,0.025502,0.175217,0.001544
0.091908,0.098648,0.172048,0.001883
0.108912,0.050152,0.156406,0.004775
0.097472,0.079794,0.128901,0.020290
0.125184,0.024229,0.134319,0.015548
0.103490,0.062798,0.078213,0.160156
0.137333,0.013354,0.157438,0.004502
0.161214,0.003618,0.172543,0.001826
0.137468,0.013263,0.161489,0.003560
0.154113,0.005437,0.166999,0.002565
0.187458,0.000696,0.199708,0.000298
0.149309,0.007096,0.171126,0.001994
0.166277,0.002679,0.193418,0.000463
0.149242,0.007123,0.181421,0.001037
0.181227,0.001050,0.183992,0.000876
0.174595,0.001606,0.201875,0.000255
0.163556,0.003152,0.160639,0.003741
0.143614,0.009640,0.163723,0.003121
0.184874,0.000827,0.208411,0.000158
0.196165,0.000382,0.211524,0.000125
0.181947,0.001002,0.208236,0.000160
0.199857,0.000294,0.201061,0.000270
0.203674,0.000224,0.241031,0.000012
0.149591,0.006988,0.121345,0.028974
0.167110,0.002548,0.203526,0.000226
0.232129,0.000024,0.262157,0.000002
0.224321,0.000046,0.230092,0.000029
0.167588,0.002475,0.192031,0.000510
0.268423,0.000001,0.269126,0.000001
0.198188,0.000332,0.214383,0.000101
0.223002,0.000051,0.261759,0.000002
0.234316,0.000020,0.254225,0.000004
0.235726,0.000018,0.260543,0.000002
0.226747,0.000038,0.261090,0.000002
0.270372,0.000001,0.271826,0.000001
0.194434,0.000432,0.254761,0.000003
0.253271,0.000004,0.293132,0.000000
0.263619,0.000001,0.287918,0.000000
0.253414,0.000004,0.286464,0.000000
0.261847,0.000002,0.312020,0.000000
0.280014,0.000000,0.306576,0.000000
0.228521,0.000033,0.260088,0.000002
0.246293,0.000007,0.287012,0.000000
0.269978,0.000001,0.300926,0.000000
0.249104,0.000006,0.297758,0.000000
0.263730,0.000001,0.267039,0.000001
0.234302,0.000020,0.293807,0.000000
0.211667,0.000124,0.258906,0.000002
0.244328,0.000009,0.309934,0.000000
0.266229,0.000001,0.321432,0.000000
0.241783,0.000011,0.274266,0.000001
0.285349,0.000000,0.312419,0.000000
0.290751,0.000000,0.333418,0.000000
0.261118,0.000002,0.294498,0.000000
0.259685,0.000002,0.279819,0.000000
0.253833,0.000004,0.291327,0.000000
0.269618,0.000001,0.295311,0.000000
0.294884,0.000000,0.325174,0.000000
0.281736,0.000000,0.310338,0.000000
0.287250,0.000000,0.325253,0.000000
0.277885,0.000000,0.316351,0.000000
0.295046,0.000000,0.318775,0.000000
0.297214,0.000000,0.332535,0.000000
0.296783,0.000000,0.329492,0.000000
0.276718,0.000000,0.322399,0.000000
0.302160,0.000000,0.328857,0.000000
0.305893,0.000000,0.332962,0.000000
0.297256,0.000000,0.332376,0.000000
0.300382,0.000000,0.327463,0.000000
0.293365,0.000000,0.323257,0.000000
0.302936,0.000000,0.339400,0.000000
0.299406,0.000000,0.332942,0.000000
0.299091,0.000000,0.331197,0.000000
