x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.452804,0,0.453239,0
0.491993,0,0.432757,0
0.456592,0,0.445677,0
0.511983,0,0.447847,0
0.476642,0,0.486899,0
0.516688,0,0.486276,0
0.480844,0,0.47976,0
0.477813,0,0.474983,0
0.497358,0,0.472286,0
0.499427,0,0.497431,0
0.49557,0,0.463949,0
0.539604,0,0.54618,0
0.560582,0,0.568891,0
0.557729,0,0.595921,0
0.537432,0,0.536858,0
0.533482,0,0.552065,0
0.592281,0,0.572392,0
0.628074,0,0.609124,0
0.589902,0,0.616601,0
0.616682,0,0.582744,0
0.610123,0,0.603866,0
0.628235,0,0.605244,0
0.617662,0,0.557627,0
0.658519,0,0.638091,0
0.680642,0,0.640266,0
0.670392,0,0.652964,0
0.675697,0,0.629084,0
0.691948,0,0.644559,0
0.689435,0,0.6424,0
0.685104,0,0.648595,0
0.668826,0,0.664876,0
0.701075,0,0.649064,0
0.685938,0,0.653286,0
0.70761,0,0.670107,0
0.686846,0,0.669526,0
0.701349,0,0.684763,0
0.721898,0,0.692515,0
0.702557,0,0.672212,0
0.715187,0,0.661994,0
0.709973,0,0.692521,0
0.644964,0,0.554978,0
0.71923,0,0.692679,0
0.740315,0,0.712264,0
0.759553,0,0.716338,0
0.732966,0,0.717897,0
0.742762,0,0.689495,0
0.752187,0,0.722891,0
0.745785,0,0.731535,0
0.75618,0,0.712696,0
0.746804,0,0.71577,0
0.746903,0,0.725217,0
0.744818,0,0.693622,0
0.713043,0,0.689966,0
0.73867,0,0.721174,0
0.772459,0,0.742062,0
0.758859,0,0.727903,0
0.737324,0,0.71103,0
0.77317,0,0.738372,0
0.760981,0,0.739726,0
0.763939,0,0.744911,0
0.775704,0,0.744789,0
0.769762,0,0.750121,0
0.758218,0,0.698717,0
0.762097,0,0.749308,0
0.731336,0,0.696524,0
0.754366,0,0.74328,0
0.757085,0,0.735567,0
0.77811,0,0.744461,0
0.791238,0,0.750376,0
0.785331,0,0.755972,0
0.78411,0,0.751233,0
0.777266,0,0.730549,0
0.783286,0,0.746584,0
0.791033,0,0.751888,0
0.782364,0,0.733519,0
0.794408,0,0.749642,0
0.780706,0,0.744877,0
0.791708,0,0.756759,0
0.788065,0,0.740311,0
0.7897,0,0.75075,0
0.791401,0,0.748286,0
0.786624,0,0.754861,0
0.796125,0,0.752719,0
0.797929,0,0.754579,0
0.790748,0,0.751807,0
0.787841,0,0.74052,0
0.793854,0,0.75516,0
0.793391,0,0.755776,0
0.796116,0,0.755916,0
0.796637,0,0.756503,0
