# S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.239024,0.000014,0.250427,0.000005
0.224957,0.000044,0.263122,0.000002
0.252234,0.000004,0.280598,0.000000
0.242345,0.000010,0.231209,0.000026
0.256625,0.000003,0.281036,0.000000
0.279981,0.000000,0.269009,0.000001
0.258471,0.000002,0.294873,0.000000
0.274862,0.000001,0.267872,0.000001
0.254545,0.000003,0.253859,0.000004
0.225805,0.000041,0.207442,0.000170
0.257048,0.000003,0.242632,0.000010
0.248159,0.000006,0.233609,0.000022
0.235084,0.000019,0.198407,0.000327
0.210826,0.000132,0.155266,0.005095
0.247217,0.000007,0.254373,0.000004
0.233954,0.000021,0.218171,0.000075
0.241331,0.000011,0.233506,0.000022
0.211626,0.000124,0.167701,0.002458
0.276834,0.000000,0.279888,0.000000
0.236296,0.000017,0.223291,0.000050
0.184564,0.000844,0.144528,0.009184
0.262555,0.000002,0.248189,0.000006
0.218784,0.000072,0.182473,0.000968
0.238208,0.000015,0.232985,0.000023
0.245533,0.000008,0.248730,0.000006
0.232082,0.000025,0.216200,0.000087
0.217456,0.000079,0.208675,0.000155
0.222011,0.000055,0.182346,0.000976
0.238776,0.000014,0.233890,0.000021
0.249951,0.000005,0.247374,0.000007
0.253427,0.000004,0.239161,0.000014
0.221677,0.000057,0.199702,0.000298
0.231452,0.000026,0.210188,0.000138
0.235307,0.000019,0.212920,0.000112
0.234088,0.000021,0.180360,0.001111
0.231614,0.000026,0.197284,0.000354
0.215564,0.000092,0.191642,0.000524
0.236182,0.000017,0.211091,0.000129
0.241028,0.000012,0.201613,0.000260
0.237763,0.000015,0.209117,0.000150
0.239195,0.000013,0.220283,0.000064
0.239707,0.000013,0.199091,0.000311
0.236459,0.000017,0.203288,0.000230
0.215394,0.000093,0.161094,0.003643
0.222822,0.000052,0.160466,0.003779
0.239899,0.000013,0.202309,0.000247
0.250425,0.000005,0.212967,0.000112
0.228120,0.000034,0.143795,0.009548
0.250669,0.000005,0.198815,0.000317
0.263467,0.000002,0.242117,0.000010
0.257046,0.000003,0.250066,0.000005
0.253522,0.000004,0.198687,0.000320
0.268041,0.000001,0.235662,0.000018
0.281216,0.000000,0.267961,0.000001
0.256820,0.000003,0.230453,0.000028
0.266862,0.000001,0.227602,0.000035
0.261016,0.000002,0.208112,0.000161
0.282455,0.000000,0.230303,0.000028
0.263802,0.000001,0.188846,0.000633
0.282624,0.000000,0.243351,0.000009
0.282112,0.000000,0.254903,0.000003
0.284966,0.000000,0.261966,0.000002
0.284242,0.000000,0.253706,0.000004
0.284986,0.000000,0.244858,0.000008
0.275746,0.000000,0.237449,0.000016
0.300707,0.000000,0.285123,0.000000
0.273291,0.000001,0.231804,0.000025
0.280952,0.000000,0.240600,0.000012
0.279656,0.000000,0.218307,0.000074
0.283870,0.000000,0.251368,0.000005
0.303907,0.000000,0.276244,0.000000
0.290513,0.000000,0.257003,0.000003
0.295393,0.000000,0.292752,0.000000
0.290664,0.000000,0.244787,0.000008
0.292739,0.000000,0.260752,0.000002
0.296934,0.000000,0.259794,0.000002
0.289447,0.000000,0.253541,0.000004
0.295542,0.000000,0.250214,0.000005
0.296428,0.000000,0.250777,0.000005
0.292291,0.000000,0.246323,0.000007
0.292501,0.000000,0.256528,0.000003
0.290587,0.000000,0.254682,0.000003
0.291126,0.000000,0.253660,0.000004
0.301480,0.000000,0.269007,0.000001
0.300741,0.000000,0.275418,0.000000
0.296645,0.000000,0.257925,0.000003
0.296889,0.000000,0.256322,0.000003
0.292365,0.000000,0.243553,0.000009
0.293473,0.000000,0.246805,0.000007
0.294518,0.000000,0.249764,0.000005
