x_S_pear_r,S_pear_p,S_spea_r,S_spea_p
0.58669,0,0.531645,0
0.594294,0,0.53327,0
0.584564,0,0.549416,0
0.612717,0,0.593269,0
0.581024,0,0.51375,0
0.606238,0,0.551151,0
0.579726,0,0.571906,0
0.560618,0,0.536371,0
0.735093,0,0.671387,0
0.721461,0,0.663018,0
0.707505,0,0.628658,0
0.709977,0,0.671614,0
0.723371,0,0.69312,0
0.715938,0,0.683798,0
0.725615,0,0.674831,0
0.751486,0,0.703356,0
0.74268,0,0.686483,0
0.77095,0,0.744591,0
0.754979,0,0.720666,0
0.739169,0,0.710614,0
0.648907,0,0.620957,0
0.762436,0,0.713038,0
0.752621,0,0.703012,0
0.700539,0,0.678669,0
0.7651,0,0.740454,0
0.745377,0,0.737636,0
0.734565,0,0.690136,0
0.791829,0,0.779815,0
0.744239,0,0.708849,0
0.768972,0,0.748956,0
0.732988,0,0.717521,0
0.748195,0,0.728247,0
0.786106,0,0.783324,0
0.791726,0,0.780781,0
0.750141,0,0.764865,0
0.78382,0,0.769739,0
0.758018,0,0.783941,0
0.768947,0,0.759657,0
0.763255,0,0.770136,0
0.798777,0,0.787698,0
0.761191,0,0.7699,0
0.779082,0,0.800753,0
0.790182,0,0.775519,0
0.800528,0,0.820356,0
0.79729,0,0.808261,0
0.789001,0,0.779002,0
0.779184,0,0.789356,0
0.755999,0,0.797129,0
0.785539,0,0.806955,0
0.795322,0,0.803641,0
0.799675,0,0.807036,0
0.806617,0,0.817359,0
0.805976,0,0.812845,0
0.789866,0,0.793277,0
0.797289,0,0.820339,0
0.803121,0,0.825247,0
0.780123,0,0.820548,0
0.811322,0,0.819948,0
0.789975,0,0.801584,0
0.807072,0,0.82863,0
0.813273,0,0.835223,0
0.829243,0,0.831662,0
0.813031,0,0.831853,0
0.802025,0,0.833409,0
0.811121,0,0.845433,0
0.805525,0,0.829538,0
0.804055,0,0.828396,0
0.818786,0,0.854488,0
0.827525,0,0.853144,0
0.814462,0,0.829855,0
0.79294,0,0.826684,0
0.811317,0,0.829168,0
0.810618,0,0.841482,0
0.843335,0,0.852766,0
0.819584,0,0.827686,0
0.819457,0,0.855082,0
0.827948,0,0.845339,0
0.821367,0,0.836059,0
0.848313,0,0.867471,0
0.842476,0,0.841944,0
0.844186,0,0.866719,0
0.82847,0,0.852631,0
0.843011,0,0.85725,0
0.838741,0,0.858848,0
0.843006,0,0.857055,0
0.840148,0,0.86529,0
0.845567,0,0.864687,0
0.845106,0,0.862015,0
0.847766,0,0.866242,0
0.847185,0,0.865308,0
