button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran
1,[4.730499999999999],[4.730499999999999],409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,space,0.8842,,,,,,,,,,,,,,,,,,,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,49.5,49.6,,,,,,,,,,,,,,,,,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,space,2.9512,,,,,,,,,,,,,,,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,,,,,,,,,,,,,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,space,2.9106,,,,,,,,,,,,,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,41,32,space,5.7858,20,5.4888,0,0,0,0,1,101,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,32,32,space,5.1563,42,5.0255,0,1,1,1,1,102,,,,,
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,39,32,space,3.7552,12,3.5206,,,,,,25,0,0,0,25,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,42,32,space,3.522,14,3.2155,,,,,,12,0,1,1,12,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,35,32,space,3.8013,17,3.4864,,,,,,21,0,2,2,21,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,52,32,space,2.1496,10,1.9031,,,,,,75,0,3,3,75,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,38,32,space,3.5197,26,3.2346,,,,,,67,0,4,4,67,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,42,32,space,2.6256,1,2.4782,,,,,,53,0,5,5,53,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,29,32,space,2.6614,2,2.4852,,,,,,15,0,6,6,15,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,27,32,space,3.3069,16,3.077,,,,,,76,0,7,7,76,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,39,32,space,2.5528,5,2.1078,,,,,,38,0,8,8,38,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,34,32,space,2.2996,10,1.7396,,,,,,68,0,9,9,68,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,36,32,space,3.462,32,3.0977,,,,,,62,0,10,10,62,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,35,32,space,1.9704,22,1.4722,,,,,,13,0,11,11,13,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,35,32,space,1.9046,16,1.6296,,,,,,24,0,12,12,24,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,41,32,space,1.732,9,1.5052,,,,,,27,0,13,13,27,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,49,32,space,2.0499,17,1.7872,,,,,,83,0,14,14,83,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,33,32,space,2.1762,13,1.5022,,,,,,35,0,15,15,35,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,34,32,space,2.1645,3,1.8382,,,,,,22,0,16,16,22,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,39,32,space,3.9551,11,3.5568,,,,,,60,0,17,17,60,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,45,32,space,2.5596,35,2.0238,,,,,,81,0,18,18,81,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,45,32,space,2.0155,20,1.5834,,,,,,51,0,19,19,51,1
,,,409,57b715b842195e000159f82b,38,female,2022-11-22_10h15.43.209,onlinegloss,2022.2.3,Win32,59.93048064,,,,,,,,,41,32,space,1.7365,6,1.3664,,,,,,69,0,20,20,69,1
