button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[9.227199999809269],[9.227199999809269],841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,space,23.4925,,,,,,,,,,,,,,,,,,,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,43.1,43.2,,,,,,,,,,,,,,,,,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,space,16.1919,,,,,,,,,,,,,,,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,space,151.104,,,,,,,,,,,,,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,28,32,space,24.723,41,22.022,0,0,0,0,1,101,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,32,32,space,15.7003,40,14.6971,0,1,1,1,1,102,,,,,,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,51,32,space,12.6455,11,11.7261,,,,,,50,0,0,0,50,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,31,32,space,10.2794,4,9.2887,,,,,,55,0,1,1,55,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,30,32,space,15.0098,12,14.34,,,,,,3,0,2,2,3,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,48,32,space,5.6471,1,4.9358,,,,,,8,0,3,3,8,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,28,32,space,6.9246,14,6.4699,,,,,,65,0,4,4,65,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,29,32,space,7.4094,16,7.1326,,,,,,54,0,5,5,54,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,40,32,space,23.1937,23,22.2359,,,,,,24,0,6,6,24,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,39,32,space,4.9596,25,3.2196,,,,,,68,0,7,7,68,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,51,32,space,8.1269,21,8.0049,,,,,,57,0,8,8,57,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,51,32,space,6.4143,19,6.0458,,,,,,63,0,9,9,63,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,33,32,space,6.7149,12,6.3272,,,,,,53,0,10,10,53,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,39,32,space,8.7882,8,8.0786,,,,,,42,0,11,11,42,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,34,32,space,5.4478,25,5.0196,,,,,,22,0,12,12,22,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,36,32,space,7.3044,52,6.5514,,,,,,58,0,13,13,58,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,37,32,space,9.4554,45,8.5919,,,,,,60,0,14,14,60,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,48,32,space,5.7806,26,4.9853,,,,,,29,0,15,15,29,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,46,32,space,6.8624,28,5.0237,,,,,,14,0,16,16,14,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,33,32,space,14.1804,20,13.5026,,,,,,27,0,17,17,27,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,38,32,space,4.2987,21,2.0451,,,,,,46,0,18,18,46,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,27,32,space,6.0817,37,5.5764,,,,,,77,0,19,19,77,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,38,32,space,8.2641,4,6.6029,,,,,,41,0,20,20,41,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,44,32,space,6.9622,9,6.6121,,,,,,51,0,21,21,51,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,48,32,space,10.2431,37,9.5006,,,,,,80,0,22,22,80,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,34,32,space,6.1635,31,5.6644,,,,,,59,0,23,23,59,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,49,32,space,9.2782,44,8.3527,,,,,,39,0,24,24,39,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,39,32,space,7.29,42,5.9333,,,,,,20,0,25,25,20,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,31,32,space,11.5926,18,10.5204,,,,,,6,0,26,26,6,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,50,32,space,22.882,20,22.3205,,,,,,78,0,27,27,78,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,50,32,space,4.2511,10,3.535,,,,,,40,0,28,28,40,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,28,32,space,7.9987,10,6.4684,,,,,,66,0,29,29,66,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,33,32,space,10.9567,14,2.5684,,,,,,49,0,30,30,49,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,37,32,space,7.584,1,7.0263,,,,,,12,0,31,31,12,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,30,32,space,6.4133,31,5.9279,,,,,,9,0,32,32,9,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,29,32,space,4.7785,27,1.2217,,,,,,13,0,33,33,13,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,36,32,space,5.0487,46,4.652,,,,,,74,0,34,34,74,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,28,32,space,3.0373,42,2.4035,,,,,,62,0,35,35,62,1,,
,,,841,5ff253bc83f6af6f4d7ff30a,46,female ,2022-11-22_17h12.01.778,onlinegloss,2022.2.3,Win32,60.27000964,,,,,,,,,35,32,space,7.4758,39,7.1708,,,,,,47,0,36,36,47,1,,
