button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.770900000000374],[3.770900000000374],247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,space,4.5223,,,,,,,,,,,,,,,,,,,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,60,49,,,,,,,,,,,,,,,,,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,space,5.2534,,,,,,,,,,,,,,,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,space,1.3903,,,,,,,,,,,,,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,,,31,32,space,14.2189,42,13.0035,0,0,0,0,1,101,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,,,37,32,space,4.7195,42,4.4395,0,1,1,1,1,102,,,,,,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,,,43,32,space,4.256,1,2.6131,,,,,,31,0,0,0,31,1,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,,,37,32,space,5.5813,2,4.6045,,,,,,12,0,1,1,12,1,,
,,,247,57761fe4760c1f0001ca7bb8,43,female,2022-11-22_09h32.01.661,onlinegloss,2022.2.3,Win32,60.50704907,,,,,,,,,27,32,space,6.1552,25,5.8611,,,,,,73,0,2,2,73,1,,
