button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.001000000000001],[4.001000000000001],1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,space,3.9801,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,54.2,47.6,,,,,,,,,,,,,,,,,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,space,14.393,,,,,,,,,,,,,,,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,space,20.416,,,,,,,,,,,,,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,43,30,space,9.812,19,9.1065,0,0,0,0,1,101,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,42,30,space,9.3668,49,9.044,0,1,1,1,1,102,,,,,,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,38,30,space,8.0395,22,7.6207,,,,,,65,0,0,0,65,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,28,30,space,3.4951,5,3.2445,,,,,,27,0,1,1,27,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,31,30,space,3.5114,38,2.6788,,,,,,33,0,2,2,33,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,50,30,space,3.0622,47,2.4449,,,,,,83,0,3,3,83,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,48,30,space,3.1293,40,2.2294,,,,,,40,0,4,4,40,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,27,30,space,2.9128,1,2.3126,,,,,,68,0,5,5,68,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,36,30,space,5.0447,25,4.4279,,,,,,38,0,6,6,38,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,49,30,space,5.8945,7,5.7596,,,,,,30,0,7,7,30,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,40,30,space,2.5796,4,2.3624,,,,,,79,0,8,8,79,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,26,30,space,2.8461,2,2.6126,,,,,,34,0,9,9,34,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,35,30,space,5.3779,47,5.1099,,,,,,20,0,10,10,20,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,35,30,space,3.28,23,2.8953,,,,,,32,0,11,11,32,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,49,30,space,4.6139,39,4.3267,,,,,,31,0,12,12,31,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,41,30,space,4.6951,15,4.1606,,,,,,18,0,13,13,18,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,36,30,space,4.3287,17,3.9946,,,,,,22,0,14,14,22,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,42,30,space,2.9318,26,2.8112,,,,,,36,0,15,15,36,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,50,30,space,4.3613,48,3.8614,,,,,,80,0,16,16,80,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,35,30,space,5.5629,41,4.5269,,,,,,58,0,17,17,58,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,32,30,space,3.4126,49,3.2283,,,,,,84,0,18,18,84,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,50,30,space,3.7141,3,2.5122,,,,,,37,0,19,19,37,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,34,30,space,4.4122,12,3.7786,,,,,,43,0,20,20,43,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,45,30,space,5.5934,24,4.3441,,,,,,61,0,21,21,61,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,46,30,space,3.8287,45,2.9285,,,,,,74,0,22,22,74,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,31,30,space,4.9444,35,3.595,,,,,,72,0,23,23,72,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,47,30,space,3.4142,48,2.6461,,,,,,48,0,24,24,48,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,37,30,space,2.9623,44,2.5974,,,,,,11,0,25,25,11,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,37,30,space,2.2986,49,1.7479,,,,,,77,0,26,26,77,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,28,30,space,4.312,33,4.1113,,,,,,56,0,27,27,56,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,41,30,space,3.4481,18,3.128,,,,,,23,0,28,28,23,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,36,30,space,4.1473,17,3.8441,,,,,,55,0,29,29,55,1,,
,,,1149,5b85e3e55a62e100016b6068,29,female,2022-11-23_17h39.25.115,onlinegloss,2022.2.3,Win32,60.0276127,,,,,,,,,32,30,space,8.4081,30,7.1921,,,,,,66,0,30,30,66,1,,
