button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.6691999999992575],[6.669299999999815],314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,space,5.3239,,,,,,,,,,,,,,,,,,,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,39.6,37,,,,,,,,,,,,,,,,,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,space,8.0576,,,,,,,,,,,,,,,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,space,23.0759,,,,,,,,,,,,,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,40,45,space,7.8068,47,7.092,0,0,0,0,1,101,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,45,45,space,4.8965,28,4.6793,0,1,1,1,1,102,,,,,,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,33,45,space,5.7847,9,5.6169,,,,,,45,0,0,0,45,1,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,44,45,space,2.9224,1,2.6712,,,,,,2,0,1,1,2,1,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,37,45,space,3.1782,1,2.6383,,,,,,59,0,2,2,59,1,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,32,45,space,2.5394,1,1.7572,,,,,,37,0,3,3,37,1,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,42,45,space,3.6271,14,3.4781,,,,,,39,0,4,4,39,1,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,32,45,space,4.911,14,4.698,,,,,,17,0,5,5,17,1,,
,,,314,5dc6d78cac77c74d18692044,43,female,2022-11-22_09h36.19.576,onlinegloss,2022.2.3,Win32,59.36832106,,,,,,,,,39,45,space,4.1289,5,3.979,,,,,,62,0,6,6,62,1,,
