button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.238900000002232],[7.238999999999997],332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,space,3.6269,,,,,,,,,,,,,,,,,,,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,48.7,48.3,,,,,,,,,,,,,,,,,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,space,23.1773,,,,,,,,,,,,,,,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,space,5.1656,,,,,,,,,,,,,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,47,9,space,16.7201,32,16.2673,0,0,0,0,1,101,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,37,9,space,15.803,42,15.3018,0,1,1,1,1,102,,,,,,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,31,9,space,15.1229,24,14.3928,,,,,,42,0,0,0,42,1,,
,,,332,6108d2066bcc43df291c93f7,29,female,2022-11-22_09h37.24.764,onlinegloss,2022.2.3,Linux x86_64,60.0060006,,,,,,,,,39,9,space,5.3859,17,2.9205,,,,,,78,0,1,1,78,1,,
