button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.326099999994039],[4.326099999994039],563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,space,3.6515,,,,,,,,,,,,,,,,,,,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,44.4,44.3,,,,,,,,,,,,,,,,,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,space,6.8752,,,,,,,,,,,,,,,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,,,space,14.2752,,,,,,,,,,,,,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,,,,,44,24,space,14.7989,52,13.9521,0,0,0,0,1,101,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,,,,,33,24,space,6.3514,50,5.9397,0,1,1,1,1,102,,,,,,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,,,,,44,24,space,6.597,1,6.1215,,,,,,75,0,0,0,75,1,,
,,,563,62a338b5f69c51c1e9f0e58c,38,female,2022-11-22_14h48.41.013,onlinegloss,2022.2.3,Win32,61.49305129,,,,,,,,,28,24,space,6.2663,25,5.0742,,,,,,12,0,1,1,12,1,,
