button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.1103000000119216],[2.1103000000119216],1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,space,5.1056,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,34.6,33.4,,,,,,,,,,,,,,,,,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,space,8.2095,,,,,,,,,,,,,,,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,,,space,1.6455,,,,,,,,,,,,,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,,,,,49,53,space,7.4444,29,7.3249,0,0,0,0,1,101,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,,,,,49,53,space,2.943,52,2.7737,0,1,1,1,1,102,,,,,,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,,,,,36,53,space,1.8684,52,1.7964,,,,,,61,0,0,0,61,1,,
,,,1180,5c793b2ed81ffd0017e0059c,26,Male,2022-11-23_19h13.55.468,onlinegloss,2022.2.3,Win32,59.86590038,,,,,,,,,30,53,space,3.4964,20,2.5258,,,,,,36,0,1,1,36,1,,
