button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.77809999999986],[1.77809999999986],951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,space,29.4159,,,,,,,,,,,,,,,,,,,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,54.4,49.7,,,,,,,,,,,,,,,,,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,space,2.8102,,,,,,,,,,,,,,,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,,,space,0.0006,,,,,,,,,,,,,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,,,,,42,34,space,4.6881,20,3.1329,0,0,0,0,1,101,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,,,,,52,34,space,1.4593,14,1.2221,0,1,1,1,1,102,,,,,,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,,,,,30,34,space,1.1587,33,1.187,,,,,,2,0,0,0,2,1,,
,,,951,597e0aa515837000016ae8db,59,female ,2022-11-22_17h37.16.883,onlinegloss,2022.2.3,Linux x86_64,60.0024001,,,,,,,,,31,34,space,2.497,2,2.3,,,,,,32,0,1,1,32,1,,
