button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.211300000011917],[10.211300000011917],526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,space,11.0922,,,,,,,,,,,,,,,,,,,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,60,48.3,,,,,,,,,,,,,,,,,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,space,9.9686,,,,,,,,,,,,,,,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,space,113.424,,,,,,,,,,,,,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,35,41,space,38.3231,38,35.6084,0,0,0,0,1,101,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,39,41,space,10.3467,44,8.9629,0,1,1,1,1,102,,,,,,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,46,41,space,15.4471,5,10.8732,,,,,,10,0,0,0,10,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,27,41,space,17.4926,13,16.1993,,,,,,48,0,1,1,48,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,49,41,space,15.8789,11,14.0182,,,,,,28,0,2,2,28,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,42,41,space,17.1614,37,11.5208,,,,,,14,0,3,3,14,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,31,41,space,16.9095,24,12.9196,,,,,,81,0,4,4,81,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,41,41,space,8.0372,4,4.6271,,,,,,32,0,5,5,32,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,27,41,space,11.7161,9,10.1553,,,,,,1,0,6,6,1,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,50,41,space,9.4009,13,6.3592,,,,,,4,0,7,7,4,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,30,41,space,4.0556,3,2.3128,,,,,,49,0,8,8,49,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,28,41,space,7.8374,12,5.6934,,,,,,60,0,9,9,60,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,29,41,space,6.071,11,2.8795,,,,,,24,0,10,10,24,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,51,41,space,13.9808,18,12.753,,,,,,40,0,11,11,40,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,28,41,space,8.4052,19,7.1248,,,,,,17,0,12,12,17,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,27,41,space,7.8398,3,6.3595,,,,,,27,0,13,13,27,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,52,41,space,7.7191,12,5.8093,,,,,,43,0,14,14,43,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,32,41,space,12.2488,15,11.0219,,,,,,71,0,15,15,71,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,45,41,space,15.5117,14,14.1849,,,,,,70,0,16,16,70,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,29,41,space,10.7212,13,7.2595,,,,,,12,0,17,17,12,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,50,41,space,13.8382,9,12.1774,,,,,,73,0,18,18,73,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,51,41,space,7.9551,11,6.2592,,,,,,46,0,19,19,46,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,40,41,space,13.2452,9,3.1612,,,,,,45,0,20,20,45,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,38,41,space,13.6356,11,8.9308,,,,,,3,0,21,21,3,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,32,41,space,5.1041,7,3.0707,,,,,,37,0,22,22,37,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,33,41,space,28.9778,19,25.6816,,,,,,39,0,23,23,39,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,32,41,space,4.487,19,3.1876,,,,,,63,0,24,24,63,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,27,41,space,9.3343,,,,,,,,21,0,25,25,21,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,39,41,space,8.3997,6,7.0996,,,,,,69,0,26,26,69,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,34,41,space,7.5,19,4.9222,,,,,,34,0,27,27,34,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,28,41,space,34.4549,37,32.2915,,,,,,54,0,28,28,54,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,45,41,space,7.9615,7,5.3857,,,,,,68,0,29,29,68,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,27,41,space,7.9481,18,5.5218,,,,,,15,0,30,30,15,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,31,41,space,14.1252,17,12.6501,,,,,,18,0,31,31,18,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,39,41,space,5.0696,,,,,,,,44,0,32,32,44,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,46,41,space,10.7301,2,8.6664,,,,,,47,0,33,33,47,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,29,41,space,26.1293,33,23.8864,,,,,,66,0,34,34,66,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,49,41,space,10.4648,2,9.6142,,,,,,9,0,35,35,9,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,30,41,space,22.0855,42,21.1027,,,,,,41,0,36,36,41,1,,
,,,526,637575f8eada3bb05daf60e0,e.g. 61,female,2022-11-22_14h45.22.109,onlinegloss,2022.2.3,Win32,60.16847172,,,,,,,,,31,41,space,18.9201,19,18.0056,,,,,,67,0,37,37,67,1,,
