button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.9569000000059589],[1.9569000000059589],538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,space,1.8322,,,,,,,,,,,,,,,,,,,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,50.2,50.1,,,,,,,,,,,,,,,,,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,space,14.3457,,,,,,,,,,,,,,,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,space,14.2465,,,,,,,,,,,,,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,31,53,space,69.3612,38,61.0584,0,0,0,0,1,101,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,29,53,space,17.451,33,16.824,0,1,1,1,1,102,,,,,,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,40,53,space,10.8649,49,7.902,,,,,,84,0,0,0,84,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,43,53,space,18.6158,41,18.0079,,,,,,32,0,1,1,32,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,53,space,9.4504,14,8.9942,,,,,,8,0,2,2,8,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,37,53,space,5.3302,1,3.8391,,,,,,26,0,3,3,26,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,28,53,space,9.398,14,8.7083,,,,,,39,0,4,4,39,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,53,space,22.1843,20,21.5658,,,,,,41,0,5,5,41,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,34,53,space,14.7993,1,14.3381,,,,,,58,0,6,6,58,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,48,53,space,7.9719,1,5.9068,,,,,,0,0,7,7,0,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,28,53,space,9.0515,17,7.7886,,,,,,82,0,8,8,82,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,53,space,7.185,15,4.1561,,,,,,14,0,9,9,14,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,53,space,9.5505,27,7.9886,,,,,,13,0,10,10,13,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,53,space,4.4872,9,4.1252,,,,,,52,0,11,11,52,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,36,53,space,8.9999,27,8.6907,,,,,,70,0,12,12,70,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,38,53,space,7.2337,28,6.4884,,,,,,46,0,13,13,46,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,43,53,space,4.9651,24,4.6887,,,,,,28,0,14,14,28,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,53,space,5.2674,18,4.5924,,,,,,19,0,15,15,19,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,29,53,space,4.786,33,4.4104,,,,,,62,0,16,16,62,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,53,space,4.5469,13,4.241,,,,,,72,0,17,17,72,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,53,space,5.0142,36,4.7566,,,,,,53,0,18,18,53,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,53,space,5.8506,10,5.5598,,,,,,51,0,19,19,51,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,53,space,6.8859,34,6.6062,,,,,,16,0,20,20,16,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,46,53,space,2.8353,1,2.6284,,,,,,54,0,21,21,54,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,53,space,4.3821,11,4.0728,,,,,,30,0,22,22,30,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,43,53,space,9.6699,3,9.1575,,,,,,43,0,23,23,43,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,53,space,11.9106,19,11.7067,,,,,,68,0,24,24,68,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,53,space,5.2504,28,5.0055,,,,,,59,0,25,25,59,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,34,53,space,4.0138,3,3.7617,,,,,,56,0,26,26,56,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,46,53,space,12.0388,21,11.3958,,,,,,64,0,27,27,64,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,53,space,6.89,7,3.8949,,,,,,23,0,28,28,23,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,39,53,space,3.006,1,2.3425,,,,,,65,0,29,29,65,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,30,53,space,2.6497,1,2.1408,,,,,,9,0,30,30,9,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,40,53,space,4.4574,9,4.1228,,,,,,44,0,31,31,44,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,42,53,space,7.3168,18,7.0244,,,,,,38,0,32,32,38,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,53,space,6.6358,39,6.2232,,,,,,61,0,33,33,61,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,53,space,8.2983,8,7.9721,,,,,,42,0,34,34,42,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,53,space,5.4855,30,4.4408,,,,,,6,0,35,35,6,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,53,space,2.6707,22,2.4304,,,,,,37,0,36,36,37,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,50,53,space,4.4088,32,4.0733,,,,,,76,0,37,37,76,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,53,space,5.0137,46,3.9232,,,,,,25,0,38,38,25,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,53,space,3.3968,46,2.9044,,,,,,69,0,39,39,69,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,36,53,space,4.3677,3,4.1423,,,,,,71,0,40,40,71,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,53,space,3.3349,9,3.0921,,,,,,2,0,41,41,2,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,32,53,space,2.3729,3,2.157,,,,,,4,0,42,42,4,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,42,53,space,2.6076,2,1.9244,,,,,,47,0,43,43,47,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,26,53,space,4.1813,39,3.924,,,,,,77,0,44,44,77,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,36,53,space,4.1152,24,3.8266,,,,,,11,0,45,45,11,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,51,53,space,2.5393,1,2.4403,,,,,,55,0,46,46,55,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,43,53,space,2.1192,4,1.84,,,,,,33,0,47,47,33,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,46,53,space,11.0081,34,10.8414,,,,,,48,0,48,48,48,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,35,53,space,2.6008,25,2.2795,,,,,,78,0,49,49,78,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,43,53,space,2.6028,14,2.2754,,,,,,1,0,50,50,1,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,31,53,space,7.2199,38,7.0233,,,,,,5,0,51,51,5,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,33,53,space,2.5743,3,2.392,,,,,,75,0,52,52,75,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,53,space,2.9644,23,2.8071,,,,,,36,0,53,53,36,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,38,53,space,1.5994,1,1.4584,,,,,,15,0,54,54,15,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,27,53,space,3.4305,32,3.2568,,,,,,80,0,55,55,80,1,,
,,,538,5f7959d0b6791155e6932dd1,38,female,2022-11-22_14h46.24.226,onlinegloss,2022.2.3,MacIntel,59.99880002,,,,,,,,,44,53,space,2.7671,18,2.5938,,,,,,45,0,56,56,45,1,,
