button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.7214000000003722],[1.7214000000003722],406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,space,3.4662,,,,,,,,,,,,,,,,,,,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,43.7,39.9,,,,,,,,,,,,,,,,,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,space,57.0814,,,,,,,,,,,,,,,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,space,130.4011,,,,,,,,,,,,,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,48,29,space,37.5117,43,30.4819,0,0,0,0,1,101,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,28,29,space,59.6915,13,58.9922,0,1,1,1,1,102,,,,,,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,46,29,space,21.3102,4,20.1727,,,,,,29,0,0,0,29,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,28,29,space,14.2591,1,6.2424,,,,,,65,0,1,1,65,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,32,29,space,32.0088,5,31.4797,,,,,,44,0,2,2,44,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,46,29,space,29.9288,4,29.1947,,,,,,40,0,3,3,40,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,40,29,space,29.5586,14,28.7105,,,,,,83,0,4,4,83,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,45,29,space,32.6592,17,31.1435,,,,,,78,0,5,5,78,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,49,29,space,50.2761,12,48.7272,,,,,,6,0,6,6,6,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,36,29,space,12.5586,1,4.9091,,,,,,33,0,7,7,33,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,27,29,space,39.3426,20,38.4272,,,,,,23,0,8,8,23,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,32,29,space,9.4456,11,8.6761,,,,,,73,0,9,9,73,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,29,29,space,7.9919,1,4.9129,,,,,,68,0,10,10,68,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,46,29,space,24.1427,8,23.6261,,,,,,67,0,11,11,67,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,40,29,space,48.293,11,47.527,,,,,,26,0,12,12,26,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,28,29,space,11.9126,16,11.3269,,,,,,42,0,13,13,42,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,45,29,space,32.8649,9,28.2788,,,,,,50,0,14,14,50,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,43,29,space,6.0256,1,4.4103,,,,,,75,0,15,15,75,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,50,29,space,9.3434,3,6.9758,,,,,,13,0,16,16,13,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,38,29,space,31.0295,9,30.5433,,,,,,55,0,17,17,55,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,46,29,space,13.7632,7,13.2264,,,,,,22,0,18,18,22,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,29,29,space,22.7255,12,22.2598,,,,,,48,0,19,19,48,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,28,29,space,6.1608,1,4.8607,,,,,,17,0,20,20,17,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,33,29,space,31.8761,11,30.8603,,,,,,76,0,21,21,76,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,29,29,space,29.0914,14,26.0815,,,,,,34,0,22,22,34,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,27,29,space,15.8424,11,15.0598,,,,,,36,0,23,23,36,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,44,29,space,39.2307,16,38.5778,,,,,,47,0,24,24,47,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,30,29,space,44.1748,36,43.7291,,,,,,74,0,25,25,74,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,36,29,space,15.8934,21,15.3434,,,,,,11,0,26,26,11,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,39,29,space,28.1592,15,24.0438,,,,,,57,0,27,27,57,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,38,29,space,12.9121,9,12.2939,,,,,,39,0,28,28,39,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,34,29,space,28.5476,1,15.5769,,,,,,0,0,29,29,0,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,37,29,space,55.0578,14,54.443,,,,,,82,0,30,30,82,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,33,29,space,17.8438,15,14.7928,,,,,,70,0,31,31,70,1,,
,,,406,595ceea8dd044900012ce64a,46,Female,2022-11-22_10h02.43.662,onlinegloss,2022.2.3,Win32,60.25548325,,,,,,,,,29,29,space,7.1264,1,3.4596,,,,,,58,0,32,32,58,1,,
