button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.722300000071527],[4.722300000071527],422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,space,37.255,,,,,,,,,,,,,,,,,,,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,36,35.7,,,,,,,,,,,,,,,,,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,space,16.2875,,,,,,,,,,,,,,,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,space,21.1382,,,,,,,,,,,,,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,32,45,space,15.3476,8,14.7141,0,0,0,0,1,101,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,32,45,space,19.1609,42,18.6635,0,1,1,1,1,102,,,,,,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,26,45,space,13.7983,9,13.3528,,,,,,55,0,0,0,55,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,30,45,space,14.6156,15,12.7308,,,,,,43,0,1,1,43,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,40,45,space,13.4201,35,12.1804,,,,,,12,0,2,2,12,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,27,45,space,14.3537,39,14.0129,,,,,,53,0,3,3,53,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,47,45,space,8.4945,26,6.9336,,,,,,58,0,4,4,58,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,33,45,space,7.1696,12,6.7169,,,,,,64,0,5,5,64,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,31,45,space,4.5765,1,4.1449,,,,,,3,0,6,6,3,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,47,45,space,7.1036,30,6.7734,,,,,,30,0,7,7,30,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,52,45,space,6.1989,4,2.993,,,,,,7,0,8,8,7,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,52,45,space,6.1131,13,5.872,,,,,,8,0,9,9,8,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,32,45,space,7.5958,23,7.2824,,,,,,74,0,10,10,74,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,44,45,space,6.7865,18,3.7031,,,,,,10,0,11,11,10,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,40,45,space,9.4097,1,6.9235,,,,,,0,0,12,12,0,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,44,45,space,11.4104,31,11.0297,,,,,,16,0,13,13,16,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,39,45,space,5.669,18,5.2541,,,,,,66,0,14,14,66,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,32,45,space,3.8799,1,3.4852,,,,,,28,0,15,15,28,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,47,45,space,4.197,7,2.2754,,,,,,42,0,16,16,42,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,43,45,space,6.6301,15,6.2662,,,,,,62,0,17,17,62,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,34,45,space,5.3388,6,4.8987,,,,,,40,0,18,18,40,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,45,45,space,6.4555,22,2.4078,,,,,,32,0,19,19,32,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,27,45,space,5.1648,18,4.3452,,,,,,50,0,20,20,50,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,29,45,space,5.6623,15,5.3479,,,,,,77,0,21,21,77,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,37,45,space,4.7661,6,2.96,,,,,,73,0,22,22,73,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,45,45,space,8.0216,28,7.7917,,,,,,18,0,23,23,18,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,34,45,space,6.0374,15,5.7054,,,,,,27,0,24,24,27,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,45,45,space,7.6628,2,6.7898,,,,,,21,0,25,25,21,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,32,45,space,1.8066,2,1.261,,,,,,49,0,26,26,49,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,35,45,space,3.0442,15,2.1754,,,,,,71,0,27,27,71,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,51,45,space,3.9106,9,2.3613,,,,,,82,0,28,28,82,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,49,45,space,4.0831,21,2.0748,,,,,,19,0,29,29,19,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,29,45,space,3.6101,10,2.6352,,,,,,70,0,30,30,70,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,29,45,space,3.093,26,2.3526,,,,,,11,0,31,31,11,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,42,45,space,7.1602,9,6.8333,,,,,,61,0,32,32,61,1,,
,,,422,613b621bcb5311540c3e7fc9,46,female ,2022-11-22_14h26.01.532,onlinegloss,2022.2.3,Win32,60.19382411,,,,,,,,,41,45,space,3.8442,2,3.0782,,,,,,1,0,33,33,1,1,,
