button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[16.43319999999925],[16.43319999999925],337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,space,8.5162,,,,,,,,,,,,,,,,,,,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,40,40.7,,,,,,,,,,,,,,,,,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,space,23.1934,,,,,,,,,,,,,,,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,space,36.2592,,,,,,,,,,,,,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,37,14,space,5.4982,52,4.7618,0,0,0,0,1,101,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,29,14,space,3.6361,52,2.7508,0,1,1,1,1,102,,,,,,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,43,14,space,3.2464,1,2.7799,,,,,,4,0,0,0,4,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,28,14,space,6.8636,15,6.4651,,,,,,53,0,1,1,53,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,35,14,space,6.5661,24,5.8796,,,,,,62,0,2,2,62,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,42,14,space,6.7488,26,6.1064,,,,,,82,0,3,3,82,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,26,14,space,5.5611,18,4.9586,,,,,,9,0,4,4,9,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,32,14,space,4.3764,15,4.0687,,,,,,26,0,5,5,26,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,47,14,space,7.8148,20,4.7312,,,,,,20,0,6,6,20,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,48,14,space,11.4144,34,10.9647,,,,,,81,0,7,7,81,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,33,14,space,5.9482,29,5.7485,,,,,,34,0,8,8,34,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,40,14,space,9.1813,12,8.1484,,,,,,22,0,9,9,22,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,34,14,space,11.2815,1,8.9151,,,,,,0,0,10,10,0,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,36,14,space,9.631,31,9.2147,,,,,,6,0,11,11,6,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,33,14,space,5.5649,33,5.2986,,,,,,56,0,12,12,56,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,46,14,space,4.9149,33,4.8143,,,,,,28,0,13,13,28,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,52,14,space,4.3982,23,3.9488,,,,,,39,0,14,14,39,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,28,14,space,3.1982,1,2.7823,,,,,,48,0,15,15,48,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,32,14,space,4.9984,38,4.8653,,,,,,84,0,16,16,84,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,45,14,space,4.1814,29,4.0153,,,,,,64,0,17,17,64,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,37,14,space,3.1485,13,2.8491,,,,,,79,0,18,18,79,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,36,14,space,5.264,29,5.232,,,,,,24,0,19,19,24,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,40,14,space,4.315,35,3.9986,,,,,,71,0,20,20,71,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,51,14,space,5.1816,26,4.9156,,,,,,59,0,21,21,59,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,38,14,space,3.0818,15,2.8988,,,,,,54,0,22,22,54,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,35,14,space,2.5986,21,1.0656,,,,,,13,0,23,23,13,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,51,14,space,2.1649,8,2.0155,,,,,,68,0,24,24,68,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,39,14,space,4.3817,18,4.1655,,,,,,3,0,25,25,3,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,52,14,space,5.248,18,5.1152,,,,,,73,0,26,26,73,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,40,14,space,2.8817,20,2.7489,,,,,,2,0,27,27,2,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,43,14,space,4.0817,41,3.8321,,,,,,74,0,28,28,74,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,41,14,space,6.0648,37,5.9986,,,,,,55,0,29,29,55,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,50,14,space,5.0814,22,4.3321,,,,,,78,0,30,30,78,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,27,14,space,2.615,13,2.5822,,,,,,72,0,31,31,72,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,49,14,space,2.9818,3,2.7156,,,,,,57,0,32,32,57,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,51,14,space,3.7151,5,3.5153,,,,,,47,0,33,33,47,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,39,14,space,4.4318,8,4.0654,,,,,,21,0,34,34,21,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,46,14,space,5.4815,16,5.2654,,,,,,31,0,35,35,31,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,36,14,space,2.8816,7,2.8489,,,,,,15,0,36,36,15,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,37,14,space,2.281,6,2.1324,,,,,,32,0,37,37,32,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,31,14,space,1.915,5,1.7988,,,,,,67,0,38,38,67,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,39,14,space,1.2158,,,,,,,,70,0,39,39,70,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,28,14,space,4.7246,6,4.0213,,,,,,23,0,40,40,23,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,52,14,space,2.4618,3,1.7562,,,,,,36,0,41,41,36,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,39,14,space,1.9062,2,1.5437,,,,,,75,0,42,42,75,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,49,14,space,3.3701,9,3.1374,,,,,,10,0,43,43,10,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,51,14,space,4.5007,7,4.44,,,,,,7,0,44,44,7,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,36,14,space,4.4838,13,4.1576,,,,,,8,0,45,45,8,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,40,14,space,5.3254,25,5.1418,,,,,,77,0,46,46,77,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,46,14,space,2.8113,2,2.5897,,,,,,58,0,47,47,58,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,29,14,space,3.6598,34,3.492,,,,,,37,0,48,48,37,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,38,14,space,2.4102,1,1.8416,,,,,,43,0,49,49,43,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,47,14,space,5.2447,24,5.0194,,,,,,51,0,50,50,51,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,30,14,space,4.8984,16,4.6988,,,,,,29,0,51,51,29,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,43,14,space,5.3314,17,4.9486,,,,,,44,0,52,52,44,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,41,14,space,3.382,13,3.099,,,,,,16,0,53,53,16,1,,
,,,337,5cc876088229ee0016862728,37,female,2022-11-22_09h37.27.789,onlinegloss,2022.2.3,Win32,59.97001499,,,,,,,,,48,14,space,4.0317,11,3.5154,,,,,,80,0,54,54,80,1,,
