button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[61.475599999999986],[61.47579999999999],259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,space,5.992,,,,,,,,,,,,,,,,,,,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,60.2,55.2,,,,,,,,,,,,,,,,,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,space,9.2032,,,,,,,,,,,,,,,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,space,20.2759,,,,,,,,,,,,,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,32,44,space,56.2293,35,45.1696,0,0,0,0,1,101,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,47,44,space,17.0159,24,12.7672,0,1,1,1,1,102,,,,,,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,51,44,space,28.4098,7,26.4415,,,,,,41,0,0,0,41,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,37,44,space,7.8259,1,4.2314,,,,,,65,0,1,1,65,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,28,44,space,6.104,17,5.0137,,,,,,78,0,2,2,78,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,42,44,space,7.3736,12,5.369,,,,,,9,0,3,3,9,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,27,44,space,8.4326,18,8.2448,,,,,,35,0,4,4,35,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,28,44,space,8.3271,13,8.0872,,,,,,77,0,5,5,77,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,51,44,space,5.4935,5,5.0974,,,,,,19,0,6,6,19,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,35,44,space,9.0097,47,7.1149,,,,,,68,0,7,7,68,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,43,44,space,22.145,6,21.3072,,,,,,66,0,8,8,66,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,46,44,space,6.0597,1,4.8199,,,,,,17,0,9,9,17,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,28,44,space,5.1385,1,4.7536,,,,,,37,0,10,10,37,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,49,44,space,8.5437,7,8.0339,,,,,,71,0,11,11,71,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,37,44,space,10.4816,2,9.5303,,,,,,51,0,12,12,51,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,47,44,space,76.7543,7,75.9828,,,,,,45,0,13,13,45,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,44,44,space,8.662,23,6.2763,,,,,,2,0,14,14,2,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,39,44,space,3.7802,1,3.5204,,,,,,22,0,15,15,22,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,30,44,space,5.7691,1,5.4085,,,,,,1,0,16,16,1,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,35,44,space,4.1243,4,3.698,,,,,,54,0,17,17,54,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,28,44,space,8.8014,22,8.135,,,,,,34,0,18,18,34,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,47,44,space,4.2233,9,3.8321,,,,,,36,0,19,19,36,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,30,44,space,5.1469,3,3.8978,,,,,,42,0,20,20,42,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,47,44,space,6.7085,1,6.3704,,,,,,11,0,21,21,11,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,28,44,space,12.625,1,10.5097,,,,,,70,0,22,22,70,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,42,44,space,14.0908,5,11.3005,,,,,,21,0,23,23,21,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,31,44,space,7.6764,26,6.1136,,,,,,26,0,24,24,26,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,46,44,space,4.8221,1,4.2633,,,,,,10,0,25,25,10,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,36,44,space,4.1037,2,2.169,,,,,,31,0,26,26,31,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,49,44,space,7.0404,13,5.9025,,,,,,82,0,27,27,82,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,36,44,space,3.5087,,,,,,,,32,0,28,28,32,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,41,44,space,3.7342,2,2.9881,,,,,,38,0,29,29,38,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,26,44,space,11.2244,24,9.5168,,,,,,52,0,30,30,52,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,34,44,space,7.5752,1,7.1809,,,,,,29,0,31,31,29,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,41,44,space,34.1567,2,31.678,,,,,,5,0,32,32,5,1,,
,,,259,5dfe89c8deea2bb229b9e4d1,39,female ,2022-11-22_09h32.31.724,onlinegloss,2022.2.3,Win32,61.83527084,,,,,,,,,41,44,space,2.9771,,,,,,,,33,0,33,33,33,1,,
