button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[10.976],[10.976],854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,space,6.145,,,,,,,,,,,,,,,,,,,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,29.4,29.8,,,,,,,,,,,,,,,,,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,space,32.148,,,,,,,,,,,,,,,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,space,17.315,,,,,,,,,,,,,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,28,45,space,32.919,34,31.812,0,0,0,0,1,101,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,45,45,space,16.159,48,14.722,0,1,1,1,1,102,,,,,,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,51,45,space,10.063,1,8.728,,,,,,69,0,0,0,69,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,36,45,space,13.801,25,12.521,,,,,,71,0,1,1,71,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,36,45,space,7.594,1,6.351,,,,,,38,0,2,2,38,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,27,45,space,13.189,3,10.837,,,,,,59,0,3,3,59,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,45,45,space,16.483,8,15.674,,,,,,60,0,4,4,60,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,33,45,space,18.676,24,18.122,,,,,,61,0,5,5,61,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,38,45,space,21.802,17,21.561,,,,,,51,0,6,6,51,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,42,45,space,6.533,5,5.769,,,,,,25,0,7,7,25,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,29,45,space,20.162,29,19.675,,,,,,12,0,8,8,12,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,48,45,space,8.378,4,7.926,,,,,,11,0,9,9,11,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,50,45,space,12.451,12,9.426,,,,,,22,0,10,10,22,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,27,45,space,17.108,11,16.699,,,,,,34,0,11,11,34,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,42,45,space,13.189,8,12.084,,,,,,62,0,12,12,62,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,34,45,space,12.437,14,10.862,,,,,,66,0,13,13,66,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,46,45,space,5.591,2,2.686,,,,,,31,0,14,14,31,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,29,45,space,4.942,1,4.419,,,,,,20,0,15,15,20,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,34,45,space,11.726,15,10.087,,,,,,74,0,16,16,74,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,47,45,space,7.428,32,6.905,,,,,,50,0,17,17,50,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,26,45,space,10.389,17,9.211,,,,,,47,0,18,18,47,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,48,45,space,8.443,19,7.896,,,,,,10,0,19,19,10,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,42,45,space,6.774,18,6.434,,,,,,19,0,20,20,19,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,41,45,space,13.023,26,11.391,,,,,,6,0,21,21,6,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,47,45,space,4.337,1,3.842,,,,,,35,0,22,22,35,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,30,45,space,6.95,4,6.307,,,,,,46,0,23,23,46,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,34,45,space,14.221,26,13.622,,,,,,16,0,24,24,16,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,34,45,space,8.557,25,8.233,,,,,,53,0,25,25,53,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,28,45,space,9.086,17,8.77,,,,,,80,0,26,26,80,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,27,45,space,4.088,1,3.242,,,,,,28,0,27,27,28,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,31,45,space,4.239,1,3.8,,,,,,3,0,28,28,3,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,51,45,space,2.602,1,1.692,,,,,,14,0,29,29,14,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,52,45,space,16.403,10,15.966,,,,,,17,0,30,30,17,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,46,45,space,8.385,25,8.016,,,,,,63,0,31,31,63,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,33,45,space,5.066,31,4.544,,,,,,32,0,32,32,32,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,30,45,space,13.136,17,12.83,,,,,,82,0,33,33,82,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,49,45,space,3.018,1,2.437,,,,,,2,0,34,34,2,1,,
,,,854,5953e5633d663c00011d235d,39,female,2022-11-22_17h12.44.196,onlinegloss,2022.2.3,Win32,29.9940012,,,,,,,,,46,45,space,7.908,11,6.989,,,,,,39,0,35,35,39,1,,
