button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.10480000001192],[7.105000000000004],435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,space,4.8781,,,,,,,,,,,,,,,,,,,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,54.3,53.7,,,,,,,,,,,,,,,,,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,space,8.0143,,,,,,,,,,,,,,,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,space,13.7488,,,,,,,,,,,,,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,43,4,space,13.7682,46,10.767,0,0,0,0,1,101,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,50,4,space,13.5429,27,11.4316,0,1,1,1,1,102,,,,,,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,32,4,space,8.846,34,7.3976,,,,,,41,0,0,0,41,1,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,34,4,space,9.1396,8,7.8772,,,,,,27,0,1,1,27,1,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,34,4,space,4.7037,1,2.6708,,,,,,25,0,2,2,25,1,,
,,,435,5c4b2a7dcee399000113cd85,39,female,2022-11-22_14h32.58.843,onlinegloss,2022.2.3,Win32,60.30999337,,,,,,,,,40,4,space,9.5813,34,7.7504,,,,,,74,0,3,3,74,1,,
