button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[4.5211999999284735],[4.5211999999284735],1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,space,6.351,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,29.1,29.1,,,,,,,,,,,,,,,,,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,space,11.2333,,,,,,,,,,,,,,,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,,,space,15.2175,,,,,,,,,,,,,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,,,,,30,1,space,15.6001,36,13.3236,0,0,0,0,1,101,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,,,,,37,1,space,9.8086,,,0,1,1,1,1,102,,,,,,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,,,,,39,1,space,8.5167,5,7.4467,,,,,,24,0,0,0,24,1,,
,,,1018,5d77af8db04edb001c0890c5,41,male,2022-11-23_12h56.09.133,onlinegloss,2022.2.3,Win32,143.6781609,,,,,,,,,46,1,space,6.3144,34,5.8091,,,,,,18,0,1,1,18,1,,
