button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.9037000000000681],[1.9038000000000466],303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,space,4.2972,,,,,,,,,,,,,,,,,,,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,40.6,33.7,,,,,,,,,,,,,,,,,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,space,11.2452,,,,,,,,,,,,,,,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,space,8.4934,,,,,,,,,,,,,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,45,34,space,12.633,52,11.1365,0,0,0,0,1,101,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,28,34,space,7.4154,40,7.0683,0,1,1,1,1,102,,,,,,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,30,34,space,4.6031,2,3.7997,,,,,,44,0,0,0,44,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,51,34,space,8.5881,23,8.1493,,,,,,34,0,1,1,34,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,44,34,space,4.2805,,,,,,,,58,0,2,2,58,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,36,34,space,6.6067,22,6.2704,,,,,,68,0,3,3,68,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,29,34,space,7.2769,32,6.9869,,,,,,83,0,4,4,83,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,33,34,space,3.7079,,,,,,,,69,0,5,5,69,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,45,34,space,8.7432,15,8.4847,,,,,,61,0,6,6,61,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,33,34,space,4.3612,,,,,,,,55,0,7,7,55,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,38,34,space,2.2744,,,,,,,,46,0,8,8,46,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,47,34,space,9.7324,13,9.5837,,,,,,60,0,9,9,60,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,42,34,space,9.0683,9,8.822,,,,,,8,0,10,10,8,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,49,34,space,2.447,1,2.2398,,,,,,54,0,11,11,54,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,46,34,space,6.3408,12,6.1378,,,,,,49,0,12,12,49,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,30,34,space,3.0134,1,2.923,,,,,,28,0,13,13,28,1,,
,,,303,5c137417d47b00000149f6ae,54,male,2022-11-22_09h35.41.487,onlinegloss,2022.2.3,Linux x86_64,60.0240096,,,,,,,,,35,34,space,6.2435,19,6.2399,,,,,,73,0,14,14,73,1,,
