button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.848100000023841],[6.848200000047683],853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,space,6.8129,,,,,,,,,,,,,,,,,,,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,41.6,41.3,,,,,,,,,,,,,,,,,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,space,77.6114,,,,,,,,,,,,,,,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,space,25.9854,,,,,,,,,,,,,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,48,44,space,12.2115,29,10.3492,0,0,0,0,1,101,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,51,44,space,6.2514,35,5.9689,0,1,1,1,1,102,,,,,,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,29,44,space,7.3672,6,6.7352,,,,,,1,0,0,0,1,1,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,27,44,space,7.9526,27,6.9217,,,,,,14,0,1,1,14,1,,
,,,853,5d7e8b886984850001138382,36,female,2022-11-22_17h12.54.779,onlinegloss,2022.2.3,Win32,60.0348202,,,,,,,,,33,44,space,6.087,3,5.9367,,,,,,30,0,2,2,30,1,,
