button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[11.600000000000001],[11.600000000000001],848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,space,7.473,,,,,,,,,,,,,,,,,,,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,35.9,35.5,,,,,,,,,,,,,,,,,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,space,51.062,,,,,,,,,,,,,,,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,space,8.323,,,,,,,,,,,,,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,34,39,space,31.281,35,30.209,0,0,0,0,1,101,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,50,39,space,6.878,52,6.681,0,1,1,1,1,102,,,,,,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,41,39,space,8.109,20,7.609,,,,,,43,0,0,0,43,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,47,39,space,5.55,22,5.355,,,,,,82,0,1,1,82,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,48,39,space,5.897,41,5.224,,,,,,21,0,2,2,21,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,47,39,space,3.661,40,2.511,,,,,,74,0,3,3,74,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,41,39,space,8.589,28,8.489,,,,,,9,0,4,4,9,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,27,39,space,12.023,,,,,,,,0,0,5,5,0,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,32,39,space,5.617,9,4.605,,,,,,44,0,6,6,44,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,35,39,space,3.377,2,2.35,,,,,,8,0,7,7,8,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,49,39,space,3.664,5,2.086,,,,,,13,0,8,8,13,1,,
,,,848,5b9e9390864aa900018eb8f0,59,male,2022-11-22_17h12.53.730,onlinegloss,2022.2.3,Linux x86_64,6.666666667,,,,,,,,,41,39,space,6.434,17,6.233,,,,,,83,0,9,9,83,1,,
