button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.226699999988078],[7.22679999998212],767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,space,6.9864,,,,,,,,,,,,,,,,,,,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,29.2,29.2,,,,,,,,,,,,,,,,,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,space,146.4115,,,,,,,,,,,,,,,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,space,20.6608,,,,,,,,,,,,,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,31,12,space,20.9595,43,20.1458,0,0,0,0,1,101,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,36,12,space,7.2396,25,7.0389,0,1,1,1,1,102,,,,,,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,34,12,space,17.855,18,17.3942,,,,,,35,0,0,0,35,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,40,12,space,6.8566,15,6.3933,,,,,,12,0,1,1,12,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,50,12,space,4.4509,1,3.1983,,,,,,45,0,2,2,45,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,35,12,space,9.8933,39,9.0052,,,,,,47,0,3,3,47,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,37,12,space,2.9621,1,2.7109,,,,,,19,0,4,4,19,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,38,12,space,7.1417,21,5.9385,,,,,,38,0,5,5,38,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,34,12,space,10.5237,13,9.9766,,,,,,69,0,6,6,69,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,47,12,space,2.759,1,2.3629,,,,,,43,0,7,7,43,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,42,12,space,9.662,22,9.372,,,,,,78,0,8,8,78,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,29,12,space,2.1775,1,1.7763,,,,,,10,0,9,9,10,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,34,12,space,6.6237,7,6.5378,,,,,,21,0,10,10,21,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,42,12,space,8.1929,15,8.0627,,,,,,34,0,11,11,34,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,43,12,space,3.5759,9,2.7898,,,,,,36,0,12,12,36,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,51,12,space,5.6733,52,5.4299,,,,,,42,0,13,13,42,1,,
,,,767,61037333eaacd23a3460ffc2,42,Malw,2022-11-22_17h04.28.375,onlinegloss,2022.2.3,Win32,60.0024001,,,,,,,,,50,12,space,6.274,9,5.9298,,,,,,63,0,14,14,63,1,,
