button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[110.64340000003577],[110.64350000000002],456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,space,12.275,,,,,,,,,,,,,,,,,,,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,40.4,40.2,,,,,,,,,,,,,,,,,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,space,54.5802,,,,,,,,,,,,,,,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,space,25.0144,,,,,,,,,,,,,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,35,25,space,26.1898,34,23.1571,0,0,0,0,1,101,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,51,25,space,21.1342,46,20.5828,0,1,1,1,1,102,,,,,,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,28,25,space,11.0345,1,10.6385,,,,,,34,0,0,0,34,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,39,25,space,20.052,13,19.3864,,,,,,80,0,1,1,80,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,32,25,space,19.8502,24,19.4016,,,,,,59,0,2,2,59,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,34,25,space,7.9122,1,6.2226,,,,,,26,0,3,3,26,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,40,25,space,7.6743,1,3.9684,,,,,,8,0,4,4,8,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,36,25,space,9.948,16,9.3807,,,,,,24,0,5,5,24,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,40,25,space,13.6149,3,13.2639,,,,,,2,0,6,6,2,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,37,25,space,11.3142,17,10.8648,,,,,,50,0,7,7,50,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,41,25,space,11.399,27,11.0479,,,,,,28,0,8,8,28,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,47,25,space,9.9443,7,9.6644,,,,,,32,0,9,9,32,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,28,25,space,19.4208,16,19.0528,,,,,,83,0,10,10,83,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,30,25,space,6.8308,20,6.614,,,,,,27,0,11,11,27,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,51,25,space,25.3807,10,25.1129,,,,,,53,0,12,12,53,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,39,25,space,12.6493,17,12.1147,,,,,,36,0,13,13,36,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,29,25,space,16.2645,17,15.397,,,,,,4,0,14,14,4,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,28,25,space,9.7318,13,7.064,,,,,,3,0,15,15,3,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,37,25,space,20.2978,30,19.9469,,,,,,19,0,16,16,19,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,52,25,space,19.1445,9,18.8478,,,,,,75,0,17,17,75,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,28,25,space,7.6657,20,7.0976,,,,,,5,0,18,18,5,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,32,25,space,11.3319,4,10.4643,,,,,,35,0,19,19,35,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,39,25,space,7.4993,9,2.6316,,,,,,67,0,20,20,67,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,39,25,space,8.9823,22,7.881,,,,,,84,0,21,21,84,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,43,25,space,11.6651,13,11.3645,,,,,,60,0,22,22,60,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,46,25,space,10.4988,17,9.4807,,,,,,16,0,23,23,16,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,50,25,space,11.2154,1,9.8307,,,,,,70,0,24,24,70,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,47,25,space,9.865,19,9.1644,,,,,,51,0,25,25,51,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,36,25,space,10.8492,11,6.8145,,,,,,48,0,26,26,48,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,35,25,space,8.3328,1,5.7814,,,,,,79,0,27,27,79,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,34,25,space,9.0816,15,3.6808,,,,,,21,0,28,28,21,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,30,25,space,9.9154,14,7.7315,,,,,,82,0,29,29,82,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,47,25,space,13.3489,11,13.0307,,,,,,25,0,30,30,25,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,47,25,space,14.9159,3,13.6809,,,,,,20,0,31,31,20,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,30,25,space,8.0156,1,4.9973,,,,,,15,0,32,32,15,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,36,25,space,7.5491,8,2.3982,,,,,,62,0,33,33,62,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,37,25,space,25.6317,9,24.7471,,,,,,17,0,34,34,17,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,26,25,space,13.1317,21,11.5306,,,,,,58,0,35,35,58,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,44,25,space,13.6102,19,11.5307,,,,,,13,0,36,36,13,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,35,25,space,7.3485,16,6.8481,,,,,,65,0,37,37,65,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,50,25,space,9.666,6,7.8313,,,,,,40,0,38,38,40,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,50,25,space,10.0826,22,9.7643,,,,,,41,0,39,39,41,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,30,25,space,12.5485,12,11.3639,,,,,,42,0,40,40,42,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,39,25,space,16.0991,27,15.6803,,,,,,45,0,41,41,45,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,31,25,space,14.8987,1,8.2807,,,,,,0,0,42,42,0,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,49,25,space,14.3317,5,13.2976,,,,,,9,0,43,43,9,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,38,25,space,17.8658,8,15.7649,,,,,,73,0,44,44,73,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,51,25,space,16.0978,12,15.5139,,,,,,54,0,45,45,54,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,41,25,space,6.0159,27,2.032,,,,,,43,0,46,46,43,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,42,25,space,6.2293,6,3.5812,,,,,,47,0,47,47,47,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,50,25,space,14.9986,12,14.564,,,,,,14,0,48,48,14,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,27,25,space,14.1492,10,9.8811,,,,,,7,0,49,49,7,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,35,25,space,11.5157,21,7.6644,,,,,,10,0,50,50,10,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,34,25,space,13.0488,16,9.3641,,,,,,12,0,51,51,12,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,50,25,space,9.1322,11,6.3816,,,,,,23,0,52,52,23,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,39,25,space,13.0827,9,11.7484,,,,,,39,0,53,53,39,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,28,25,space,15.7988,13,10.3977,,,,,,68,0,54,54,68,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,38,25,space,7.6657,8,6.1147,,,,,,22,0,55,55,22,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,45,25,space,9.3608,19,8.1311,,,,,,78,0,56,56,78,1,,
,,,456,57a1229616a091000112e9a9,51,female,2022-11-22_14h38.30.804,onlinegloss,2022.2.3,Win32,59.90176111,,,,,,,,,26,25,space,14.4493,28,7.7645,,,,,,30,0,57,57,30,1,,
