button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[7.597000000000001],[7.5971000000000934],143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,space,6.6291,,,,,,,,,,,,,,,,,,,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,59.1,54.6,,,,,,,,,,,,,,,,,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,space,10.0317,,,,,,,,,,,,,,,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,space,19.2133,,,,,,,,,,,,,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,32,36,space,17.4529,26,16.3219,0,0,0,0,1,101,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,46,36,space,15.9468,37,15.1449,0,1,1,1,1,102,,,,,,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,36,36,space,9.7844,7,9.5994,,,,,,6,0,0,0,6,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,28,36,space,5.9216,4,5.757,,,,,,25,0,1,1,25,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,41,36,space,5.0192,11,4.8684,,,,,,49,0,2,2,49,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,39,36,space,6.7347,6,6.549,,,,,,5,0,3,3,5,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,52,36,space,3.5595,1,2.7031,,,,,,75,0,4,4,75,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,51,36,space,3.2549,1,2.435,,,,,,62,0,5,5,62,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,45,36,space,5.8665,1,5.799,,,,,,14,0,6,6,14,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,27,36,space,4.3672,,,,,,,,48,0,7,7,48,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,36,36,space,3.7132,1,3.6042,,,,,,61,0,8,8,61,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,45,36,space,5.3875,13,5.2921,,,,,,43,0,9,9,43,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,26,36,space,3.2552,6,3.2291,,,,,,8,0,10,10,8,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,38,36,space,4.9224,13,3.3888,,,,,,27,0,11,11,27,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,38,36,space,5.247,22,4.9331,,,,,,74,0,12,12,74,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,29,36,space,4.7801,17,4.7691,,,,,,26,0,13,13,26,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,31,36,space,10.4542,33,9.8517,,,,,,7,0,14,14,7,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,42,36,space,4.4665,,,,,,,,82,0,15,15,82,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,37,36,space,6.2247,22,6.2015,,,,,,52,0,16,16,52,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,43,36,space,5.3078,7,5.2292,,,,,,17,0,17,17,17,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,45,36,space,3.947,13,3.5878,,,,,,72,0,18,18,72,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,50,36,space,6.4403,11,6.4026,,,,,,42,0,19,19,42,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,52,36,space,3.6988,37,3.4711,,,,,,81,0,20,20,81,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,29,36,space,4.0603,32,3.9966,,,,,,24,0,21,21,24,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,36,36,space,5.3425,28,5.1984,,,,,,73,0,22,22,73,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,44,36,space,10.0261,20,9.8799,,,,,,11,0,23,23,11,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,34,36,space,5.4462,9,4.3301,,,,,,40,0,24,24,40,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,47,36,space,6.2735,30,6.2194,,,,,,15,0,25,25,15,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,47,36,space,5.7794,33,5.6083,,,,,,64,0,26,26,64,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,37,36,space,8.2555,1,5.4153,,,,,,0,0,27,27,0,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,31,36,space,8.482,13,8.421,,,,,,51,0,28,28,51,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,40,36,space,5.6548,6,3.8369,,,,,,30,0,29,29,30,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,37,36,space,3.662,12,3.6286,,,,,,37,0,30,30,37,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,49,36,space,2.0485,1,1.5517,,,,,,29,0,31,31,29,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,48,36,space,3.6885,8,3.5937,,,,,,78,0,32,32,78,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,39,36,space,6.5995,32,6.5457,,,,,,80,0,33,33,80,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,45,36,space,1.712,1,1.6211,,,,,,59,0,34,34,59,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,35,36,space,3.8316,9,3.7686,,,,,,39,0,35,35,39,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,38,36,space,2.2929,1,2.1107,,,,,,46,0,36,36,46,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,32,36,space,1.2446,1,1.1211,,,,,,68,0,37,37,68,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,36,36,space,3.6643,5,3.5596,,,,,,57,0,38,38,57,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,44,36,space,5.9563,8,5.761,,,,,,32,0,39,39,32,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,30,36,space,1.7309,1,1.5878,,,,,,41,0,40,40,41,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,40,36,space,2.3418,6,2.2602,,,,,,10,0,41,41,10,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,34,36,space,5.6957,20,5.691,,,,,,63,0,42,42,63,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,35,36,space,2.5467,1,2.1525,,,,,,69,0,43,43,69,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,50,36,space,4.5751,22,4.4516,,,,,,34,0,44,44,34,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,32,36,space,4.3185,35,3.9032,,,,,,20,0,45,45,20,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,49,36,space,5.6991,4,5.5333,,,,,,60,0,46,46,60,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,28,36,space,5.7356,16,5.5977,,,,,,22,0,47,47,22,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,42,36,space,3.3253,11,3.1667,,,,,,31,0,48,48,31,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,27,36,space,3.8054,21,3.736,,,,,,36,0,49,49,36,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,27,36,space,4.0017,25,3.92,,,,,,2,0,50,50,2,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,28,36,space,2.5988,1,2.3019,,,,,,58,0,51,51,58,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,42,36,space,1.7832,1,1.6969,,,,,,12,0,52,52,12,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,35,36,space,3.8492,,,,,,,,77,0,53,53,77,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,27,36,space,3.7513,12,3.6936,,,,,,83,0,54,54,83,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,34,36,space,2.2548,1,2.0861,,,,,,55,0,55,55,55,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,43,36,space,1.8341,1,1.7018,,,,,,38,0,56,56,38,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,31,36,space,3.1417,15,2.9819,,,,,,66,0,57,57,66,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,37,36,space,6.8912,9,6.8098,,,,,,28,0,58,58,28,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,48,36,space,5.5914,45,5.5078,,,,,,33,0,59,59,33,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,52,36,space,4.7489,15,4.5767,,,,,,44,0,60,60,44,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,34,36,space,7.395,17,6.8269,,,,,,70,0,61,61,70,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,30,36,space,5.1014,2,5.0785,,,,,,13,0,62,62,13,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,41,36,space,2.5305,9,2.3731,,,,,,53,0,63,63,53,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,47,36,space,4.6478,21,4.4202,,,,,,45,0,64,64,45,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,27,36,space,2.842,38,2.7605,,,,,,18,0,65,65,18,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,50,36,space,2.5704,21,2.4963,,,,,,67,0,66,66,67,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,50,36,space,2.697,20,2.7058,,,,,,4,0,67,67,4,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,38,36,space,1.723,1,1.663,,,,,,50,0,68,68,50,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,49,36,space,3.4194,31,3.2763,,,,,,47,0,69,69,47,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,26,36,space,2.7029,1,2.6144,,,,,,71,0,70,70,71,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,51,36,space,1.8755,1,1.8043,,,,,,19,0,71,71,19,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,43,36,space,4.0435,14,4.0071,,,,,,65,0,72,72,65,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,31,36,space,5.0248,20,5.0207,,,,,,16,0,73,73,16,1,,
,,,143,5d09db7514de190001842c93,22,male,2022-11-22_01h14.16.842,onlinegloss,2022.2.3,Win32,143.9470275,,,,,,,,,50,36,space,5.3631,20,5.2677,,,,,,76,0,74,74,76,1,,
