button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[9.4545],[9.454600000023841],1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,space,57.3586,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,50.2,50.8,,,,,,,,,,,,,,,,,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,space,65.9537,,,,,,,,,,,,,,,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,space,35.7729,,,,,,,,,,,,,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,41,2,space,135.8834,25,58.1774,0,0,0,0,1,101,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,32,2,space,23.6076,24,23.1138,0,1,1,1,1,102,,,,,,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,38,2,space,40.7538,5,40.0112,,,,,,25,0,0,0,25,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,42,2,space,6.073,4,2.323,,,,,,76,0,1,1,76,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,31,2,space,5.5624,1,4.3246,,,,,,48,0,2,2,48,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,44,2,space,43.3023,28,41.8164,,,,,,84,0,3,3,84,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,41,2,space,9.4709,10,8.9454,,,,,,45,0,4,4,45,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,50,2,space,9.3523,10,8.9161,,,,,,82,0,5,5,82,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,36,2,space,3.6399,4,3.6484,,,,,,53,0,6,6,53,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,34,2,space,6.8974,6,6.6268,,,,,,16,0,7,7,16,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,35,2,space,11.8378,28,11.6436,,,,,,78,0,8,8,78,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,28,2,space,7.3715,10,7.1628,,,,,,24,0,9,9,24,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,36,2,space,19.5012,1,14.4379,,,,,,0,0,10,10,0,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,45,2,space,5.0699,1,4.2216,,,,,,9,0,11,11,9,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,31,2,space,13.1837,17,12.5969,,,,,,34,0,12,12,34,1,,
,,,1091,60250e892b5c5727eeeef076,64,male,2022-11-23_15h10.24.164,onlinegloss,2022.2.3,Win32,60.24459305,,,,,,,,,50,2,space,7.2858,11,6.4163,,,,,,40,0,13,13,40,1,,
