button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[1.2692999999970205],[1.2692999999970205],777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,space,2.2186,,,,,,,,,,,,,,,,,,,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,59.9,58.8,,,,,,,,,,,,,,,,,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,space,9.0541,,,,,,,,,,,,,,,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,space,0.1813,,,,,,,,,,,,,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,31,22,space,8.6896,,,0,0,0,0,1,101,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,52,22,space,19.7793,45,18.4783,0,1,1,1,1,102,,,,,,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,32,22,space,5.3463,28,5.3064,,,,,,83,0,0,0,83,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,31,22,space,2.6214,29,2.4731,,,,,,10,0,1,1,10,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,30,22,space,2.9791,1,2.5547,,,,,,54,0,2,2,54,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,43,22,space,1.8423,,,,,,,,77,0,3,3,77,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,28,22,space,6.0835,10,6.1063,,,,,,71,0,4,4,71,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,26,22,space,2.7989,39,2.7574,,,,,,44,0,5,5,44,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,34,22,space,7.4286,1,6.2143,,,,,,0,0,6,6,0,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,38,22,space,2.4852,14,2.4037,,,,,,38,0,7,7,38,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,32,22,space,2.3971,34,1.9874,,,,,,25,0,8,8,25,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,33,22,space,3.0815,5,2.8548,,,,,,62,0,9,9,62,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,42,22,space,3.1083,30,2.1252,,,,,,16,0,10,10,16,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,37,22,space,2.4735,25,1.7195,,,,,,64,0,11,11,64,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,48,22,space,2.1062,31,1.2968,,,,,,61,0,12,12,61,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,47,22,space,1.7662,37,1.5744,,,,,,55,0,13,13,55,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,46,22,space,1.6867,5,1.4741,,,,,,66,0,14,14,66,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,43,22,space,2.0889,8,1.8411,,,,,,51,0,15,15,51,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,43,22,space,1.4717,33,1.3538,,,,,,48,0,16,16,48,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,52,22,space,1.8765,21,1.7389,,,,,,60,0,17,17,60,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,34,22,space,1.5855,7,1.4758,,,,,,72,0,18,18,72,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,45,22,space,1.2075,34,1.1024,,,,,,52,0,19,19,52,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,42,22,space,1.112,26,0.9034,,,,,,75,0,20,20,75,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,34,22,space,1.8426,42,1.6496,,,,,,33,0,21,21,33,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,48,22,space,1.6615,45,1.4218,,,,,,84,0,22,22,84,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,27,22,space,1.732,50,1.627,,,,,,1,0,23,23,1,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,45,22,space,1.8715,9,1.665,,,,,,7,0,24,24,7,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,52,22,space,1.6546,39,1.3402,,,,,,36,0,25,25,36,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,37,22,space,1.9674,19,1.9549,,,,,,65,0,26,26,65,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,39,22,space,2.1752,25,2.0275,,,,,,22,0,27,27,22,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,37,22,space,1.3544,33,1.1451,,,,,,15,0,28,28,15,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,37,22,space,1.0221,27,0.858,,,,,,23,0,29,29,23,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,46,22,space,1.2012,25,0.8898,,,,,,58,0,30,30,58,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,52,22,space,0.9965,33,0.7647,,,,,,57,0,31,31,57,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,47,22,space,1.0123,38,0.7,,,,,,21,0,32,32,21,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,37,22,space,2.918,38,2.8059,,,,,,28,0,33,33,28,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,43,22,space,1.84,12,1.7181,,,,,,34,0,34,34,34,1,,
,,,777,5c4c13bed3a5e30001830fb0,25,female ,2022-11-22_17h05.56.599,onlinegloss,2022.2.3,Win32,60.0528465,,,,,,,,,34,22,space,1.3629,9,1.3502,,,,,,18,0,35,35,18,1,,
