button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.7960999999996297],[2.796200000000187],288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,space,6.1963,,,,,,,,,,,,,,,,,,,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,37.1,35.3,,,,,,,,,,,,,,,,,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,space,24.5826,,,,,,,,,,,,,,,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,space,12.1896,,,,,,,,,,,,,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,30,19,space,1.8323,,,0,0,0,0,1,101,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,26,19,space,2.8783,,,0,1,1,1,1,102,,,,,,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,49,19,space,0.6407,,,,,,,,6,0,0,0,6,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,27,19,space,0.5443,,,,,,,,18,0,1,1,18,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,44,19,space,0.3094,,,,,,,,64,0,2,2,64,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,35,19,space,8.5398,11,6.4386,,,,,,19,0,3,3,19,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,45,19,space,5.8994,1,5.5839,,,,,,69,0,4,4,69,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,35,19,space,5.7342,44,4.9828,,,,,,81,0,5,5,81,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,42,19,space,4.7993,26,4.5812,,,,,,34,0,6,6,34,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,38,19,space,5.3661,44,4.7996,,,,,,52,0,7,7,52,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,38,19,space,6.0159,7,5.4978,,,,,,82,0,8,8,82,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,38,19,space,2.1142,1,1.8663,,,,,,10,0,9,9,10,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,45,19,space,4.9143,52,4.3662,,,,,,24,0,10,10,24,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,44,19,space,4.0476,5,3.6994,,,,,,43,0,11,11,43,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,46,19,space,6.116,47,4.868,,,,,,37,0,12,12,37,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,42,19,space,4.0993,4,3.366,,,,,,72,0,13,13,72,1,,
,,,288,61a74f67a9217c6f76a4d0f2,21,female ,2022-11-22_09h34.38.528,onlinegloss,2022.2.3,Win32,60.00960154,,,,,,,,,50,19,space,3.6325,6,3.3512,,,,,,46,0,14,14,46,1,,
