button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.3469000000059665],[3.3469000000059665],197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,space,3.9958,,,,,,,,,,,,,,,,,,,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,45,46.6,,,,,,,,,,,,,,,,,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,space,6.0192,,,,,,,,,,,,,,,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,space,10.8245,,,,,,,,,,,,,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,39,36,space,5.1084,39,4.6206,0,0,0,0,1,101,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,40,36,space,4.8759,20,4.4449,0,1,1,1,1,102,,,,,,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,41,36,space,3.5218,15,3.4425,,,,,,81,0,0,0,81,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,41,36,space,3.0716,7,2.9779,,,,,,52,0,1,1,52,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,30,36,space,2.0222,1,1.8446,,,,,,61,0,2,2,61,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,49,36,space,2.6229,4,2.3118,,,,,,73,0,3,3,73,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,31,36,space,1.9998,7,1.8756,,,,,,30,0,4,4,30,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,28,36,space,2.3044,11,2.2298,,,,,,13,0,5,5,13,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,43,36,space,3.5433,,,,,,,,0,0,6,6,0,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,47,36,space,4.8424,26,4.8454,,,,,,84,0,7,7,84,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,40,36,space,5.1727,28,5.112,,,,,,21,0,8,8,21,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,46,36,space,3.2841,8,3.2276,,,,,,32,0,9,9,32,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,44,36,space,1.8335,1,1.6829,,,,,,6,0,10,10,6,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,29,36,space,4.3745,15,4.3281,,,,,,76,0,11,11,76,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,51,36,space,2.2491,1,2.1951,,,,,,27,0,12,12,27,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,40,36,space,2.1553,12,2.1111,,,,,,44,0,13,13,44,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,46,36,space,1.5722,1,1.5275,,,,,,48,0,14,14,48,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,48,36,space,2.4721,20,2.4608,,,,,,39,0,15,15,39,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,37,36,space,3.2189,12,3.1451,,,,,,40,0,16,16,40,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,44,36,space,1.7552,16,1.7112,,,,,,67,0,17,17,67,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,47,36,space,3.2873,14,3.2147,,,,,,8,0,18,18,8,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,45,36,space,2.6252,23,2.5954,,,,,,22,0,19,19,22,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,46,36,space,2.9053,25,2.8778,,,,,,77,0,20,20,77,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,39,36,space,3.8905,36,3.7951,,,,,,33,0,21,21,33,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,32,36,space,1.9925,15,1.9443,,,,,,4,0,22,22,4,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,40,36,space,1.6006,32,1.5286,,,,,,45,0,23,23,45,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,49,36,space,1.9731,8,1.8444,,,,,,37,0,24,24,37,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,40,36,space,2.3605,17,2.3128,,,,,,64,0,25,25,64,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,32,36,space,1.9671,15,1.9608,,,,,,16,0,26,26,16,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,45,36,space,1.7885,6,1.7276,,,,,,10,0,27,27,10,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,27,36,space,1.4389,8,1.344,,,,,,71,0,28,28,71,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,49,36,space,2.5573,23,2.5122,,,,,,20,0,29,29,20,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,41,36,space,1.6715,13,1.6112,,,,,,42,0,30,30,42,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,42,36,space,1.3715,14,1.2942,,,,,,51,0,31,31,51,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,50,36,space,1.6766,3,1.6276,,,,,,19,0,32,32,19,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,41,36,space,3.1105,26,3.0964,,,,,,43,0,33,33,43,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,33,36,space,2.2735,15,2.1969,,,,,,17,0,34,34,17,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,50,36,space,1.7225,39,1.6307,,,,,,74,0,35,35,74,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,29,36,space,1.5417,33,1.5131,,,,,,34,0,36,36,34,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,40,36,space,1.5214,8,1.4596,,,,,,72,0,37,37,72,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,33,36,space,1.3807,19,1.3201,,,,,,47,0,38,38,47,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,29,36,space,1.4038,18,1.3292,,,,,,70,0,39,39,70,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,42,36,space,1.337,1,1.2446,,,,,,79,0,40,40,79,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,46,36,space,1.6539,1,1.6113,,,,,,68,0,41,41,68,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,39,36,space,1.3557,1,1.2777,,,,,,28,0,42,42,28,1,,
,,,197,58fd0de6d66f6400016dc0fd,45,male,2022-11-22_09h28.09.288,onlinegloss,2022.2.3,Win32,60.05645307,,,,,,,,,35,36,space,1.8369,27,1.7946,,,,,,7,0,43,43,7,1,,
