button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[154.59980000007153],[154.60010000002384],470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,space,7.2357,,,,,,,,,,,,,,,,,,,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,34.8,32.1,,,,,,,,,,,,,,,,,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,space,14.138,,,,,,,,,,,,,,,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,space,38.3109,,,,,,,,,,,,,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,43,39,space,7.5588,33,4.3585,0,0,0,0,1,101,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,36,39,space,14.2287,41,13.2998,0,1,1,1,1,102,,,,,,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,32,39,space,9.7647,46,8.5666,,,,,,66,0,0,0,66,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,33,39,space,5.6957,15,3.8947,,,,,,4,0,1,1,4,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,26,39,space,7.4668,21,5.4202,,,,,,1,0,2,2,1,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,35,39,space,6.9894,8,6.2551,,,,,,58,0,3,3,58,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,35,39,space,4.9269,14,3.578,,,,,,13,0,4,4,13,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,39,39,space,5.4135,38,3.1854,,,,,,84,0,5,5,84,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,46,39,space,8.2959,29,7.6256,,,,,,31,0,6,6,31,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,48,39,space,4.7342,20,2.544,,,,,,14,0,7,7,14,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,52,39,space,4.4956,21,3.1772,,,,,,37,0,8,8,37,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,29,39,space,4.1794,19,3.0631,,,,,,46,0,9,9,46,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,44,39,space,6.5388,11,4.7044,,,,,,19,0,10,10,19,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,50,39,space,7.906,31,6.5208,,,,,,54,0,11,11,54,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,35,39,space,4.4028,16,3.5715,,,,,,32,0,12,12,32,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,46,39,space,3.1136,19,2.2376,,,,,,16,0,13,13,16,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,28,39,space,3.2014,10,2.2209,,,,,,55,0,14,14,55,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,33,39,space,3.4532,32,2.4731,,,,,,57,0,15,15,57,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,49,39,space,3.6095,19,2.8515,,,,,,44,0,16,16,44,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,42,39,space,3.3529,10,2.4822,,,,,,42,0,17,17,42,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,49,39,space,4.2272,27,3.3186,,,,,,80,0,18,18,80,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,32,39,space,3.5056,33,2.1469,,,,,,49,0,19,19,49,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,28,39,space,3.2552,8,2.2243,,,,,,23,0,20,20,23,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,51,39,space,2.9458,11,2.1177,,,,,,51,0,21,21,51,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,40,39,space,3.0083,15,2.3136,,,,,,63,0,22,22,63,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,42,39,space,3.3536,38,2.3713,,,,,,83,0,23,23,83,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,40,39,space,4.4918,32,3.8267,,,,,,21,0,24,24,21,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,47,39,space,2.8109,22,2.12,,,,,,73,0,25,25,73,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,34,39,space,2.8155,32,2.1372,,,,,,59,0,26,26,59,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,38,39,space,3.1115,36,2.272,,,,,,81,0,27,27,81,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,38,39,space,2.7549,8,2.0044,,,,,,26,0,28,28,26,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,26,39,space,3.7304,22,2.9849,,,,,,9,0,29,29,9,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,43,39,space,2.8709,39,2.0197,,,,,,74,0,30,30,74,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,42,39,space,3.1356,42,1.9582,,,,,,43,0,31,31,43,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,36,39,space,3.2363,9,2.503,,,,,,8,0,32,32,8,1,,
,,,470,5c5ca9566a946500015a3389,63,female,2022-11-22_14h39.36.385,onlinegloss,2022.2.3,Win32,59.90534955,,,,,,,,,30,39,space,2.6362,13,1.9711,,,,,,69,0,33,33,69,1,,
