button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[20.884199999988077],[20.88430000001192],546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,space,11.4169,,,,,,,,,,,,,,,,,,,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,52.6,51.9,,,,,,,,,,,,,,,,,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,space,9.111,,,,,,,,,,,,,,,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,,,space,37.2924,,,,,,,,,,,,,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,,,,,37,7,space,36.6885,50,33.3035,0,0,0,0,1,101,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,,,,,46,7,space,29.8792,43,28.6041,0,1,1,1,1,102,,,,,,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,,,,,34,7,space,21.8587,1,21.0652,,,,,,43,0,0,0,43,1,,
,,,546,59d4b084115096000190dbce,55,male,2022-11-22_14h47.04.499,onlinegloss,2022.2.3,Win32,60.10699044,,,,,,,,,28,7,space,24.7249,28,23.2495,,,,,,71,0,1,1,71,1,,
