button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[32.607],[32.607],534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,space,5.867,,,,,,,,,,,,,,,,,,,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,37,36.9,,,,,,,,,,,,,,,,,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,18.552,,,,,,,,,,,,,,,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,30.828,,,,,,,,,,,,,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,49,space,31.232,45,30.439,0,0,0,0,1,101,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,49,space,14.381,35,14.219,0,1,1,1,1,102,,,,,,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,38,49,space,7.44,28,7.353,,,,,,17,0,0,0,17,1,,
,,,534,5d4927e399f83a00152bad4c,49,male,2022-11-22_14h46.56.123,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,46,49,space,5.41,8,5.253,,,,,,55,0,1,1,55,1,,
