button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.7691999999997208],[2.7693999999999086],957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,space,12.1122,,,,,,,,,,,,,,,,,,,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,53.2,52.4,,,,,,,,,,,,,,,,,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,space,8.9242,,,,,,,,,,,,,,,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,space,1.1238,,,,,,,,,,,,,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,37,40,space,11.0886,14,10.8415,0,0,0,0,1,101,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,40,40,space,5.7633,16,5.6101,0,1,1,1,1,102,,,,,,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,44,40,space,5.8495,1,5.2067,,,,,,43,0,0,0,43,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,36,40,space,3.1779,6,3.0384,,,,,,76,0,1,1,76,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,33,40,space,5.7655,6,5.2566,,,,,,67,0,2,2,67,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,51,40,space,4.6731,5,4.3731,,,,,,79,0,3,3,79,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,33,40,space,2.879,1,1.896,,,,,,53,0,4,4,53,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,39,40,space,4.2196,6,3.2378,,,,,,12,0,5,5,12,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,32,40,space,6.7929,4,4.9395,,,,,,52,0,6,6,52,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,37,40,space,6.6311,14,6.3062,,,,,,3,0,7,7,3,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,45,40,space,4.7282,3,4.2578,,,,,,13,0,8,8,13,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,42,40,space,2.6409,1,1.6073,,,,,,19,0,9,9,19,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,44,40,space,4.9637,2,3.7068,,,,,,1,0,10,10,1,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,40,40,space,3.9143,2,2.2233,,,,,,23,0,11,11,23,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,27,40,space,3.7963,3,3.4414,,,,,,69,0,12,12,69,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,41,40,space,2.9468,1,1.8086,,,,,,64,0,13,13,64,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,37,40,space,4.829,2,4.5204,,,,,,63,0,14,14,63,1,,
,,,957,598993dbb78fa90001adfbf0,50,female,2022-11-22_17h48.32.663,onlinegloss,2022.2.3,Win32,60.84945844,,,,,,,,,31,40,space,5.6675,11,5.3974,,,,,,48,0,15,15,48,1,,
