button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[12.17240000152588],[12.17240000152588],323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,space,16.1089,,,,,,,,,,,,,,,,,,,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,41.3,41,,,,,,,,,,,,,,,,,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,space,147.0573,,,,,,,,,,,,,,,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,space,75.2646,,,,,,,,,,,,,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,46,54,space,92.564,18,89.961,0,0,0,0,1,101,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,44,54,space,51.853,13,48.663,0,1,1,1,1,102,,,,,,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,30,54,space,43.9847,37,33.3224,,,,,,52,0,0,0,52,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,43,54,space,6.267599998,43,3.374099998,,,,,,2,0,1,1,2,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,45,54,space,6.1195,32,3.126,,,,,,68,0,2,2,68,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,47,54,space,5.3575,19,4.225400002,,,,,,32,0,3,3,32,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,43,54,space,7.071400002,12,4.579300003,,,,,,1,0,4,4,1,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,36,54,space,16.4526,7,14.1603,,,,,,11,0,5,5,11,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,41,54,space,7.8215,18,3.679599998,,,,,,80,0,6,6,80,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,36,54,space,6.288400002,7,4.9905,,,,,,71,0,7,7,71,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,36,54,space,11.2898,6,9.739900002,,,,,,35,0,8,8,35,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,28,54,space,3.842199997,3,2.560800003,,,,,,69,0,9,9,69,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,48,54,space,12.075,25,10.4234,,,,,,23,0,10,10,23,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,29,54,space,5.837099998,19,4.907200005,,,,,,82,0,11,11,82,1,,
,,,323,5f0cc9e346422616e8397c44,41,female,2022-11-22_09h37.16.286,onlinegloss,2022.2.3,Win32,60.2373351,,,,,,,,,47,54,space,10.5701,25,9.059300003,,,,,,74,0,12,12,74,1,,
