button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[6.9205000000000005],[6.9205000000000005],152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,space,7.6179,,,,,,,,,,,,,,,,,,,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,39.8,40,,,,,,,,,,,,,,,,,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,space,9.9566,,,,,,,,,,,,,,,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,space,17.1555,,,,,,,,,,,,,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,29,45,space,14.5436,49,13.6954,0,0,0,0,1,101,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,52,45,space,7.4005,35,6.3131,0,1,1,1,1,102,,,,,,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,42,45,space,3.7141,13,1.5592,,,,,,53,0,0,0,53,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,29,45,space,4.6484,10,2.9947,,,,,,17,0,1,1,17,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,36,45,space,5.5301,21,4.8805,,,,,,83,0,2,2,83,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,45,45,space,3.3496,7,2.066,,,,,,22,0,3,3,22,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,36,45,space,4.0015,2,2.1815,,,,,,51,0,4,4,51,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,36,45,space,10.4317,10,10.1448,,,,,,20,0,5,5,20,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,32,45,space,3.6783,15,2.5482,,,,,,46,0,6,6,46,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,47,45,space,3.0323,9,2.0466,,,,,,14,0,7,7,14,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,36,45,space,4.0328,24,2.8311,,,,,,6,0,8,8,6,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,39,45,space,3.5985,4,2.6304,,,,,,42,0,9,9,42,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,32,45,space,3.6982,10,2.4989,,,,,,68,0,10,10,68,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,34,45,space,2.3324,16,1.5803,,,,,,11,0,11,11,11,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,41,45,space,3.3152,27,2.6314,,,,,,78,0,12,12,78,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,31,45,space,5.1151,9,4.2313,,,,,,28,0,13,13,28,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,42,45,space,2.5664,20,2.0651,,,,,,13,0,14,14,13,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,41,45,space,3.1338,3,1.9974,,,,,,65,0,15,15,65,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,33,45,space,3.7288,19,3.0135,,,,,,61,0,16,16,61,1,,
,,,152,5d74ce25e8351c0018f3f28f,55,male,2022-11-22_09h19.55.331,onlinegloss,2022.2.3,Win32,60.81245439,,,,,,,,,33,45,space,4.5796,8,3.9636,,,,,,26,0,17,17,26,1,,
