button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.44160000002384],[3.441699999928474],238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,space,5.6736,,,,,,,,,,,,,,,,,,,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,45.9,43.3,,,,,,,,,,,,,,,,,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,space,15.1937,,,,,,,,,,,,,,,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,space,18.5007,,,,,,,,,,,,,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,32,23,space,16.8265,38,13.8279,0,0,0,0,1,101,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,47,23,space,4.7534,37,4.2678,0,1,1,1,1,102,,,,,,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,27,23,space,7.0314,28,6.1804,,,,,,36,0,0,0,36,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,48,23,space,11.3821,30,10.8607,,,,,,82,0,1,1,82,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,34,23,space,12.4432,7,12.125,,,,,,35,0,2,2,35,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,30,23,space,12.8707,21,11.6774,,,,,,57,0,3,3,57,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,46,23,space,8.9481,28,8.6429,,,,,,78,0,4,4,78,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,43,23,space,9.0845,32,8.78,,,,,,6,0,5,5,6,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,31,23,space,5.0214,11,4.8451,,,,,,60,0,6,6,60,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,47,23,space,6.672,27,5.5846,,,,,,73,0,7,7,73,1,,
,,,238,61499cc1b352b17a4575f43d,36,female,2022-11-22_09h31.19.373,onlinegloss,2022.2.3,Win32,60.41931001,,,,,,,,,40,23,space,7.0565,41,6.7654,,,,,,39,0,8,8,39,1,,
