button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[18.269],[18.269999999999996],761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,space,5.19,,,,,,,,,,,,,,,,,,,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,43.3,43.6,,,,,,,,,,,,,,,,,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,space,12.409,,,,,,,,,,,,,,,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,space,17.04,,,,,,,,,,,,,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,35,6,space,17.326,52,14.497,0,0,0,0,1,101,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,48,6,space,8.927,27,7.913,0,1,1,1,1,102,,,,,,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,38,6,space,10.354,40,9.291,,,,,,62,0,0,0,62,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,34,6,space,8.55,14,7.653,,,,,,1,0,1,1,1,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,34,6,space,11.342,7,10.495,,,,,,71,0,2,2,71,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,42,6,space,8.416,8,7.613,,,,,,67,0,3,3,67,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,26,6,space,4.862,1,3.249,,,,,,47,0,4,4,47,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,35,6,space,7.589,13,6.668,,,,,,80,0,5,5,80,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,34,6,space,4.144,1,2.862,,,,,,43,0,6,6,43,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,37,6,space,7.954,5,7.455,,,,,,18,0,7,7,18,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,50,6,space,9.48,1,8.85,,,,,,27,0,8,8,27,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,38,6,space,13.533,9,12.232,,,,,,39,0,9,9,39,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,39,6,space,8.985,5,7.844,,,,,,15,0,10,10,15,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,33,6,space,7.388,5,6.178,,,,,,69,0,11,11,69,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,45,6,space,4.697,1,2.699,,,,,,53,0,12,12,53,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,37,6,space,5.039,4,3.619,,,,,,3,0,13,13,3,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,40,6,space,7.736,4,6.936,,,,,,7,0,14,14,7,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,45,6,space,13.618,21,12.928,,,,,,81,0,15,15,81,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,39,6,space,12.436,52,11.738,,,,,,74,0,16,16,74,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,52,6,space,14.252,1,12.784,,,,,,0,0,17,17,0,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,52,6,space,17.242,34,15.899,,,,,,83,0,18,18,83,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,30,6,space,7.476,10,6.971,,,,,,38,0,19,19,38,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,31,6,space,7.909,52,7.471,,,,,,84,0,20,20,84,1,,
,,,761,5f3c29b01c4817a51a7d9d3c,45,male,2022-11-22_17h03.53.088,onlinegloss,2022.2.3,Win32,16.01537476,,,,,,,,,32,6,space,4.383,6,2.493,,,,,,19,0,21,21,19,1,,
