button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[272.8656000000001],[272.8656999999997],195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,space,7.3666,,,,,,,,,,,,,,,,,,,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,41.2,41,,,,,,,,,,,,,,,,,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,space,18.3665,,,,,,,,,,,,,,,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,space,8.8486,,,,,,,,,,,,,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,34,34,space,7.7579,29,7.4955,0,0,0,0,1,101,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,31,34,space,7.9505,34,7.6196,0,1,1,1,1,102,,,,,,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,30,34,space,6.253,9,6.0569,,,,,,41,0,0,0,41,1,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,29,34,space,6.0949,2,5.6897,,,,,,79,0,1,1,79,1,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,31,34,space,7.7236,21,7.6186,,,,,,43,0,2,2,43,1,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,45,34,space,6.9262,12,6.7364,,,,,,47,0,3,3,47,1,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,43,34,space,3.1241,1,2.5322,,,,,,31,0,4,4,31,1,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,33,34,space,1.6924,1,1.2735,,,,,,54,0,5,5,54,1,,
,,,195,5cd57eea4c50640019fc0c8a,36,female,2022-11-22_09h27.22.036,onlinegloss,2022.2.3,Win32,60.11421701,,,,,,,,,46,34,space,4.4852,10,4.2216,,,,,,48,0,6,6,48,1,,
