button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[3.6970000000000045],[3.6970000000000045],234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,space,4.4809,,,,,,,,,,,,,,,,,,,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,36.2,35.4,,,,,,,,,,,,,,,,,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,space,6.3985,,,,,,,,,,,,,,,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,space,3.7854,,,,,,,,,,,,,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,52,19,space,9.4733,38,9.2092,0,0,0,0,1,101,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,48,19,space,3.1957,29,3.0316,0,1,1,1,1,102,,,,,,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,51,19,space,4.0293,11,3.9628,,,,,,37,0,0,0,37,1,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,47,19,space,2.6658,1,2.4986,,,,,,67,0,1,1,67,1,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,50,19,space,2.0494,17,1.5322,,,,,,18,0,2,2,18,1,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,37,19,space,2.0655,4,1.9485,,,,,,17,0,3,3,17,1,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,34,19,space,2.7824,38,1.9826,,,,,,21,0,4,4,21,1,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,41,19,space,1.9658,9,1.3991,,,,,,38,0,5,5,38,1,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,45,19,space,1.7161,4,1.3485,,,,,,46,0,6,6,46,1,,
,,,234,5ba8438e168e5e0001e4922f,29,male,2022-11-22_09h30.49.609,onlinegloss,2022.2.3,Win32,60.0240096,,,,,,,,,49,19,space,1.9477,1,1.6154,,,,,,33,0,7,7,33,1,,
