button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[2.8645000000000014],[2.86480000001192],208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,space,4.6883,,,,,,,,,,,,,,,,,,,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,40.5,40.5,,,,,,,,,,,,,,,,,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,space,10.5441,,,,,,,,,,,,,,,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,space,14.1931,,,,,,,,,,,,,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,29,47,space,20.1392,41,19.7501,0,0,0,0,1,101,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,36,47,space,8.0055,19,7.6376,0,1,1,1,1,102,,,,,,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,39,47,space,5.7496,7,5.515,,,,,,80,0,0,0,80,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,37,47,space,3.5558,1,3.2916,,,,,,63,0,1,1,63,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,51,47,space,2.8445,1,2.5048,,,,,,48,0,2,2,48,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,50,47,space,5.9855,20,5.7532,,,,,,57,0,3,3,57,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,31,47,space,2.9958,1,2.2598,,,,,,7,0,4,4,7,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,47,47,space,5.1616,12,4.7374,,,,,,69,0,5,5,69,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,33,47,space,4.9919,6,4.1714,,,,,,50,0,6,6,50,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,41,47,space,7.1083,30,6.9411,,,,,,18,0,7,7,18,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,26,47,space,2.8019,1,2.1339,,,,,,60,0,8,8,60,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,44,47,space,5.2924,7,4.7854,,,,,,58,0,9,9,58,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,48,47,space,5.9593,12,5.5707,,,,,,65,0,10,10,65,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,29,47,space,2.1446,1,2.0025,,,,,,23,0,11,11,23,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,49,47,space,2.814,1,1.9612,,,,,,28,0,12,12,28,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,34,47,space,4.6745,14,4.4494,,,,,,24,0,13,13,24,1,,
,,,208,62e29a87b66da576f3aee0b9,50,Male,2022-11-22_09h28.27.763,onlinegloss,2022.2.3,Win32,60.06006006,,,,,,,,,29,47,space,4.771,5,4.5888,,,,,,16,0,14,14,16,1,,
