button.numClicks,button.timesOn,button.timesOff,participant,ProlificID,age,biological sex,date,expName,psychopyVersion,OS,frameRate,key_resp_sizecalibration.keys,key_resp_sizecalibration.rt,X Scale,Y Scale,key_resp_2.keys,key_resp_2.rt,key_resp_instruction2.keys,key_resp_instruction2.rt,start_specularN,condition,key_resp.keys,key_resp.rt,slider.response,slider.rt,practice_trial.thisRepN,practice_trial.thisTrialN,practice_trial.thisN,practice_trial.thisIndex,practice_trial.ran,imgN,main_trials.thisRepN,main_trials.thisTrialN,main_trials.thisN,main_trials.thisIndex,main_trials.ran,key_resp_3.keys,key_resp_3.rt
1,[8.643600000001484],[8.643999999999998],277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,space,5.6146,,,,,,,,,,,,,,,,,,,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,55.7,55.5,,,,,,,,,,,,,,,,,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,space,95.9719,,,,,,,,,,,,,,,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,,,space,33.6219,,,,,,,,,,,,,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,,,,,50,8,space,11.3575,30,10.0248,0,0,0,0,1,101,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,,,,,35,8,space,5.2949,31,5.0912,0,1,1,1,1,102,,,,,,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,,,,,28,8,space,6.5401,45,5.7413,,,,,,50,0,0,0,50,1,,
,,,277,591be15e630b1e00018f7dd0,23,female,2022-11-22_03h34.31.926,onlinegloss,2022.2.3,Linux x86_64,30.00840235,,,,,,,,,40,8,space,6.3568,20,6.1652,,,,,,66,0,1,1,66,1,,
